pH,Azot_ppm,Fosfor_ppm,Potasyum_ppm,OrganikMadde,Tuzluluk,ToprakTuru,UrunTipi
6.64,66.5,33.6,283.7,3.47,0.26,Tinli,Portakal
6.58,78.5,28.5,255.9,3.86,0.13,KumluTinli,Biberiye
7.04,108.2,35.9,342.4,4.32,0.44,MilliTinli,Hiyar
6.76,39.7,16.3,206.6,1.5,1.02,MilliTinli,Fasulye
5.71,65.5,37.7,183.8,3.87,0.12,Tinli,Ayva
6.24,94.0,37.2,244.3,1.76,0.29,MilliTinli,Karpuz
7.03,84.6,42.4,361.9,3.39,0.31,KumluTinli,TazeSogan
6.62,61.6,20.9,298.4,2.25,0.17,KumluTinli,Papatya
6.79,108.9,46.2,242.5,2.99,0.43,TinliKumlu,Maydanoz
7.56,74.4,39.1,245.7,2.82,0.56,AgirKilli,SekerPancari
7.22,54.1,37.1,230.8,2.43,0.38,Tinli,Pamuk
7.3,54.1,25.9,273.7,2.55,0.35,KilliTinli,Elma
6.1,104.7,40.8,285.3,2.95,0.24,KumluTinli,Tere
7.28,56.1,49.8,311.2,2.81,0.71,AgirKilli,Aspir
7.11,71.6,27.6,189.7,2.81,0.15,KumluTinli,Kusburnu
6.98,52.5,44.5,255.2,2.09,0.8,AgirKilli,Aspir
6.66,67.2,24.7,254.3,2.65,0.35,Tinli,Papatya
5.95,75.6,31.3,285.9,2.21,0.4,KilliTinli,Kimyon
7.29,52.9,23.1,236.9,2.23,0.25,KilliTinli,Findik
7.98,87.5,26.1,219.8,2.2,0.64,Tinli,Kenevir
6.01,98.0,36.1,344.4,2.9,0.48,KumluTinli,Tere
7.4,53.1,26.5,240.1,3.18,0.62,Tinli,YerFistigi
7.38,50.4,30.7,284.7,3.68,0.16,Tinli,Uzum
6.19,52.6,39.3,190.4,2.47,0.32,KilliTinli,Cay
5.83,77.8,41.2,260.3,2.92,0.22,Tinli,Rezene
5.69,57.6,24.9,202.4,2.19,0.21,Tinli,Incir
7.19,89.9,49.5,278.7,2.19,0.61,Tinli,Pamuk
7.1,51.2,43.5,212.8,2.47,0.2,Tinli,SekerPancari
5.54,56.9,20.7,295.9,2.25,0.31,KumluTinli,YemSalgamı
5.57,63.3,44.9,282.7,3.04,0.12,Tinli,Kayisi
6.09,72.7,45.9,306.1,2.59,0.16,MilliTinli,Sarımsak
7.36,46.6,29.7,267.6,3.76,0.3,Tinli,Salep
7.05,96.2,38.6,366.3,2.63,0.31,MilliTinli,Havuc
6.63,85.6,40.0,330.4,2.59,0.4,TinliKumlu,Marul
7.15,75.7,61.7,324.4,4.15,0.49,KumluTinli,TazeSogan
6.74,70.1,46.9,245.5,3.45,0.32,TinliKumlu,Domates
7.03,62.9,43.9,204.1,2.22,0.36,Tinli,Erik
7.7,80.8,41.5,291.9,3.27,0.57,Tinli,Pamuk
7.52,64.3,41.2,214.8,3.33,0.5,Killi,Pamuk
6.13,44.1,29.0,212.4,3.69,0.19,KumluTinli,Ceviz
7.04,40.1,41.5,202.3,3.1,0.22,KumluTinli,Kusburnu
6.88,76.5,62.2,277.3,3.95,0.45,MilliTinli,Biber
6.92,77.5,35.1,236.8,2.12,0.3,KumluTinli,Kekik
6.33,52.1,39.0,222.5,3.9,0.39,KumluTinli,Kivi
7.95,70.9,49.4,290.9,2.24,0.49,Tinli,Soya
6.07,82.2,43.3,327.1,4.48,0.25,KumluTinli,Roka
6.35,89.7,36.0,329.0,3.23,0.22,TinliKumlu,Kereviz
7.02,81.1,44.1,285.5,3.93,0.43,MilliTinli,Kereviz
6.55,106.0,55.8,342.1,4.22,0.21,TinliKumlu,Havuc
7.95,78.6,48.8,227.2,3.32,0.69,Tinli,Pamuk
7.74,79.3,27.9,293.7,3.18,0.56,AgirKilli,Pamuk
6.03,40.6,44.1,210.1,3.35,0.31,KumluTinli,Kestane
7.78,70.5,36.0,319.6,2.34,0.53,AgirKilli,SekerPancari
5.91,72.0,28.3,283.8,3.83,0.36,KumluTinli,Anason
6.87,44.4,27.2,217.2,2.5,0.25,KilliTinli,Erik
6.56,71.6,27.4,245.0,2.69,0.22,KumluTinli,Kestane
6.61,65.7,57.9,335.0,4.05,0.48,KumluTinli,Patlican
6.99,73.9,33.6,297.8,2.9,0.25,KumluTinli,Cay
6.46,93.1,45.4,294.7,2.82,0.2,TinliKumlu,Kavun
6.56,73.9,54.6,355.3,1.56,0.41,TinliKumlu,Karpuz
7.22,79.9,26.0,184.8,2.82,0.14,KilliTinli,Greyfurt
6.8,72.2,37.9,251.2,2.11,0.24,KumluTinli,Incir
7.34,63.3,34.8,222.6,2.1,0.11,KumluTinli,Kestane
6.04,44.0,24.2,197.7,3.95,0.33,KilliTinli,Incir
6.93,51.3,29.1,202.9,2.69,0.26,Tinli,Cay
6.34,66.6,60.6,263.1,4.21,0.3,MilliTinli,Ispanak
5.97,77.9,43.6,253.2,3.85,0.34,Tinli,Portakal
5.88,76.9,37.4,253.3,2.4,0.12,KilliTinli,Cay
6.65,77.3,48.1,351.2,3.06,0.16,TinliKumlu,Ispanak
7.29,76.4,27.8,262.9,2.54,0.16,KumluTinli,Incir
5.63,63.8,38.5,183.9,3.32,0.26,KilliTinli,Nane
7.26,82.3,45.6,246.2,2.69,0.38,Tinli,Tütün
6.85,66.3,21.8,227.4,2.36,0.15,KumluTinli,AdaCayi
7.38,70.6,32.7,268.8,2.49,0.22,Tinli,SekerPancari
6.18,72.2,21.3,199.2,2.67,0.12,KilliTinli,Portakal
7.11,49.0,25.7,278.1,3.86,0.13,KumluTinli,Armut
7.58,85.0,44.8,216.9,2.82,0.26,AgirKilli,YerFistigi
7.28,79.7,27.4,205.2,3.53,0.18,KilliTinli,Yonca
6.75,72.3,41.1,237.9,3.55,0.3,KumluTinli,Anason
6.38,41.7,37.1,288.3,3.67,0.14,KumluTinli,Kusburnu
6.39,61.3,41.8,299.5,3.17,0.34,KumluTinli,Kivi
7.17,83.7,37.0,246.7,3.09,0.47,MilliTinli,Havuc
6.7,77.3,59.5,305.3,1.58,0.17,TinliKumlu,Karpuz
7.24,63.1,28.6,276.4,3.08,0.12,KilliTinli,Incir
6.46,72.4,43.8,182.6,3.97,0.13,KilliTinli,Elma
6.87,74.2,44.1,262.8,2.34,0.6,Tinli,Kenevir
7.78,48.9,30.1,214.4,1.38,0.35,Killi,Burçak
7.06,79.7,26.0,284.9,3.66,0.17,Tinli,Muz
6.96,68.0,34.7,292.6,2.7,0.17,Tinli,Ceviz
7.55,72.0,35.2,262.6,3.34,0.32,AgirKilli,YerFistigi
7.12,61.0,39.6,364.1,3.42,0.33,MilliTinli,Patlican
7.27,55.2,41.8,287.5,2.86,0.32,Killi,Susam
7.4,53.4,28.7,186.5,1.75,0.88,Killi,Cavdar
6.61,90.2,48.8,356.0,4.16,0.38,MilliTinli,TazeSogan
6.15,80.8,36.9,295.5,3.45,0.28,KumluTinli,Prasa
5.96,68.2,27.7,209.1,2.15,0.32,Tinli,Badem
6.31,49.4,40.5,220.5,3.66,0.1,Tinli,Erik
6.82,50.8,18.4,228.3,1.21,0.76,Tinli,Bugday
6.91,60.1,40.7,241.0,3.24,0.24,Tinli,Cay
6.99,40.5,23.3,175.9,1.65,0.37,Killi,Arpa
6.5,63.3,34.5,186.5,2.63,0.25,Tinli,Korunga
7.02,80.0,38.6,224.5,2.44,0.65,AgirKilli,Susam
6.93,83.7,40.4,239.1,2.29,0.53,Tinli,Kenevir
6.73,46.2,29.2,231.9,1.84,0.41,Tinli,Celtik
6.98,59.4,22.1,296.7,3.04,0.28,KumluTinli,Uzum
6.63,60.7,27.1,242.1,3.7,0.31,KumluTinli,Portakal
6.04,52.6,41.1,237.2,3.34,0.22,KilliTinli,Salep
6.23,77.5,26.9,219.9,3.4,0.33,KilliTinli,Portakal
6.69,93.7,35.5,287.5,4.09,0.13,TinliKumlu,Roka
7.42,61.6,36.7,302.9,2.46,0.32,Killi,Aycicegi
6.37,61.4,31.9,226.7,3.77,0.37,KumluTinli,Findik
7.94,53.7,29.0,315.3,2.81,0.21,Tinli,YerFistigi
5.88,70.0,25.9,197.2,2.37,0.15,KumluTinli,Badem
7.47,26.4,34.0,216.9,1.21,0.99,MilliTinli,Bugday
6.94,40.3,32.7,196.7,3.73,0.36,KilliTinli,Nane
6.64,40.1,26.5,242.2,3.44,0.15,KumluTinli,OglanOtu
6.59,45.3,37.3,275.4,2.33,0.13,KilliTinli,Ceviz
6.95,73.5,44.4,297.1,2.13,0.35,KumluTinli,Safran
6.85,73.9,46.7,306.9,2.67,0.48,AgirKilli,Aycicegi
6.98,76.3,45.5,323.5,3.05,0.11,TinliKumlu,Prasa
7.43,30.3,19.7,199.5,2.21,0.49,MilliTinli,Misir
6.1,47.5,27.6,191.2,2.29,0.13,KumluTinli,Salep
6.64,48.4,33.2,190.6,1.89,0.69,MilliTinli,Arpa
5.92,50.6,36.6,295.9,3.83,0.25,Tinli,Cay
6.66,52.0,20.9,256.2,3.72,0.2,KumluTinli,AdaCayi
6.04,79.3,29.6,201.3,2.7,0.23,Tinli,SiloMisiri
5.8,77.2,31.5,201.8,2.6,0.12,KumluTinli,Biberiye
7.35,54.6,22.6,264.3,2.6,0.18,KumluTinli,Elma
6.33,80.0,64.5,315.1,3.51,0.2,KumluTinli,Marul
6.91,66.7,46.3,302.7,2.15,0.25,Tinli,Aycicegi
6.48,73.9,40.8,228.4,2.67,0.25,Tinli,Korunga
7.33,63.3,31.6,278.2,3.37,0.16,KilliTinli,AdaCayi
7.26,47.8,27.8,254.5,3.28,0.31,KumluTinli,Papatya
6.97,52.1,40.6,206.5,3.25,0.51,Killi,Keten
6.02,53.5,30.1,186.1,2.99,0.14,KilliTinli,Elma
7.48,43.2,18.3,223.8,1.99,0.38,MilliTinli,Fasulye
6.53,67.1,38.1,315.0,2.67,0.22,TinliKumlu,Marul
7.45,64.4,27.0,223.2,3.43,0.45,Killi,Pamuk
5.92,73.9,42.7,245.0,3.26,0.18,KilliTinli,Muz
6.4,82.0,60.7,335.8,4.26,0.18,KumluTinli,Hiyar
6.62,62.1,22.9,195.1,3.06,0.18,KilliTinli,AdaCayi
7.44,68.6,43.1,242.1,2.23,0.26,Tinli,AdaCayi
6.25,103.7,35.9,252.7,4.21,0.35,TinliKumlu,Havuc
6.69,38.3,21.7,201.7,1.84,0.31,Killi,Cavdar
7.29,68.8,26.2,222.9,3.19,0.47,Tinli,Kenevir
7.14,46.9,40.2,263.1,3.11,0.31,KilliTinli,Badem
7.55,36.6,30.9,184.5,1.28,1.14,Killi,Bugday
6.9,25.7,15.1,178.2,1.65,1.07,Tinli,Arpa
5.79,70.6,39.7,256.7,3.71,0.32,KumluTinli,Kestane
5.53,52.5,34.7,196.6,2.85,0.27,KilliTinli,Elma
6.67,32.1,33.7,228.8,1.98,0.73,Killi,Arpa
5.54,53.1,35.7,213.0,3.82,0.29,KumluTinli,Uzum
7.12,79.2,49.8,365.5,4.11,0.1,MilliTinli,Kavun
6.94,74.5,36.4,241.4,2.32,0.12,Tinli,Salep
7.81,64.5,41.5,256.5,2.3,0.56,Killi,Aspir
7.5,35.5,22.5,202.7,1.2,0.52,Tinli,Yulaf
7.27,40.2,15.4,234.6,1.29,0.92,Tinli,Burçak
7.03,57.3,32.1,257.8,2.04,0.3,KilliTinli,Ceviz
7.89,54.9,38.4,305.5,2.62,0.49,Killi,Aspir
7.68,61.5,43.4,208.4,3.3,0.5,Tinli,SekerPancari
5.76,70.6,43.3,293.7,2.74,0.14,KumluTinli,Lavanta
6.44,67.1,55.9,263.0,4.01,0.49,MilliTinli,Prasa
6.77,61.2,47.9,362.5,3.1,0.14,KumluTinli,Ispanak
6.38,70.8,26.6,180.6,3.34,0.39,KumluTinli,Visne
6.4,62.1,49.9,316.2,2.84,0.4,MilliTinli,Hiyar
6.11,108.8,43.6,299.3,3.8,0.11,MilliTinli,Prasa
6.28,56.6,31.7,224.1,2.2,0.19,KilliTinli,Lavanta
8.0,83.8,40.3,204.8,3.35,0.53,Killi,YerFistigi
7.15,51.0,34.1,192.4,1.76,1.17,Tinli,Mercimek
6.23,101.3,59.9,280.9,4.25,0.41,MilliTinli,Havuc
6.9,60.4,40.1,321.3,3.93,0.47,KumluTinli,Marul
5.86,76.1,29.9,209.4,2.9,0.2,Tinli,Zeytin
6.14,63.7,21.8,197.7,2.15,0.34,KilliTinli,Seftali
5.84,64.8,38.0,248.3,3.48,0.14,KilliTinli,Safran
5.78,43.8,30.6,292.0,3.08,0.26,KilliTinli,Kestane
6.93,66.4,35.6,213.9,2.76,0.13,KilliTinli,Armut
7.76,68.2,41.8,238.2,2.57,0.79,Killi,Aycicegi
6.27,74.8,34.2,232.7,2.13,0.24,KilliTinli,Ceviz
6.59,66.2,29.7,257.7,2.09,0.12,KilliTinli,Papatya
7.2,26.5,15.0,179.6,1.95,0.41,MilliTinli,Fiğ
7.74,26.9,27.1,164.6,2.18,0.78,Killi,Arpa
6.82,45.5,37.2,289.6,3.22,0.27,KumluTinli,Kivi
7.14,42.4,35.3,225.4,3.59,0.36,Tinli,Kimyon
6.46,53.3,31.2,248.5,2.87,0.22,KumluTinli,Kestane
7.32,78.5,30.7,203.7,3.25,0.31,KumluTinli,Lavanta
6.79,55.0,43.8,182.7,2.61,0.38,KilliTinli,Greyfurt
7.04,74.7,35.1,271.3,3.18,0.5,TinliKumlu,Biber
6.13,51.8,38.3,284.6,2.39,0.13,KilliTinli,SiloMisiri
6.5,103.0,42.6,377.3,3.73,0.42,MilliTinli,Tere
6.37,71.4,22.3,242.5,3.67,0.35,Tinli,Rezene
7.84,68.6,43.6,274.3,3.2,0.46,Killi,Keten
7.49,38.4,30.8,209.5,1.32,0.44,MilliTinli,Celtik
7.19,54.3,40.8,282.1,2.85,0.12,KumluTinli,Kiraz
6.25,92.7,47.5,265.2,3.88,0.33,MilliTinli,Hiyar
6.28,59.6,22.8,230.3,2.63,0.11,Tinli,Erik
7.23,56.5,37.2,295.3,2.99,0.26,Killi,Susam
5.63,63.7,39.3,279.4,2.34,0.37,Tinli,OglanOtu
5.52,77.1,21.7,224.0,2.81,0.1,Tinli,Mandalina
7.87,71.7,49.5,297.2,2.83,0.77,Tinli,Kenevir
6.83,52.5,30.5,261.5,2.82,0.22,Tinli,Aspir
7.09,103.2,55.2,270.0,3.78,0.3,MilliTinli,TazeSogan
6.86,70.7,37.6,217.9,2.16,0.27,Tinli,SekerPancari
5.79,74.3,27.7,259.1,3.13,0.24,Tinli,AntepFistigi
6.38,83.0,42.1,327.8,3.1,0.49,TinliKumlu,Tere
6.38,79.8,30.5,253.0,2.21,0.24,KilliTinli,Ayva
6.21,102.4,43.9,323.8,3.51,0.12,KumluTinli,Maydanoz
7.23,54.3,35.5,287.3,2.16,0.32,Killi,Aspir
7.46,42.1,16.3,169.3,1.86,0.55,Killi,Fasulye
6.99,54.7,44.0,311.3,2.69,0.6,AgirKilli,Susam
6.29,62.9,43.8,242.0,3.64,0.26,KumluTinli,Kivi
7.31,50.6,31.0,163.3,1.62,0.33,Tinli,Yulaf
7.07,79.6,63.9,298.2,3.7,0.38,KumluTinli,Havuc
5.72,77.3,28.3,206.3,2.99,0.18,KilliTinli,Anason
5.81,60.2,30.3,285.2,2.25,0.36,KumluTinli,Nar
6.02,65.0,49.9,336.6,3.17,0.38,TinliKumlu,Turp
6.17,51.6,33.5,182.8,2.16,0.23,KumluTinli,Cilek
6.7,59.7,39.6,293.7,2.71,0.17,KilliTinli,Nar
5.9,43.1,39.7,280.3,2.33,0.36,Tinli,Muz
6.95,55.1,20.2,181.1,2.92,0.25,KilliTinli,Cay
7.35,54.2,36.5,299.9,2.53,0.27,KumluTinli,Korunga
7.18,79.0,28.0,220.2,2.47,0.56,AgirKilli,Aspir
6.08,46.4,33.6,243.9,2.15,0.31,Tinli,Badem
7.41,44.6,43.7,268.0,3.27,0.29,Tinli,MeyanKoku
5.86,56.3,28.9,274.9,3.02,0.14,KumluTinli,Limon
7.51,84.9,26.2,246.3,2.24,0.62,Tinli,YerFistigi
5.61,56.5,34.5,227.1,3.16,0.25,KilliTinli,Kusburnu
6.84,76.5,32.6,295.9,3.88,0.36,Tinli,Nar
6.35,58.3,32.9,279.8,3.32,0.2,KumluTinli,Kimyon
7.31,41.7,30.8,186.3,2.19,0.3,Tinli,Yonca
6.5,51.0,36.2,266.6,3.73,0.24,KilliTinli,Kekik
6.89,72.4,33.3,218.6,3.27,0.51,AgirKilli,Keten
7.09,78.8,34.3,206.4,3.72,0.32,Tinli,OglanOtu
7.18,104.9,63.6,294.1,4.07,0.35,TinliKumlu,Marul
5.77,42.7,44.4,294.8,2.12,0.23,KumluTinli,Visne
7.02,75.4,38.2,291.3,2.67,0.25,KilliTinli,Lavanta
5.96,40.0,38.9,298.2,3.62,0.24,Tinli,Visne
6.6,61.6,53.4,340.3,3.33,0.4,KumluTinli,Domates
7.19,94.2,54.3,242.1,4.22,0.16,MilliTinli,Hiyar
7.32,55.2,36.4,297.3,3.24,0.45,Killi,Aycicegi
6.42,69.7,44.6,260.1,2.49,0.31,KilliTinli,Kayisi
6.71,92.4,48.6,375.6,2.67,0.24,KumluTinli,TazeSogan
7.09,36.5,23.6,238.3,1.3,1.13,Killi,Burçak
5.97,76.3,27.7,297.2,2.56,0.39,Tinli,Uzum
7.39,87.1,38.0,258.5,2.87,0.61,Tinli,Aycicegi
7.29,47.8,23.3,297.1,3.74,0.37,Tinli,Armut
6.58,97.3,41.2,281.0,3.19,0.4,TinliKumlu,Sarımsak
6.2,81.2,48.8,242.9,2.53,0.31,TinliKumlu,Kereviz
6.43,64.1,39.7,205.8,2.13,0.26,KilliTinli,Kiraz
6.17,40.1,44.0,251.1,3.64,0.35,Tinli,Limon
6.79,33.1,24.0,212.2,2.14,0.56,MilliTinli,Nohut
6.95,36.7,25.2,234.3,2.16,0.42,Tinli,Fasulye
6.99,102.2,52.1,293.5,4.37,0.27,MilliTinli,Havuc
6.59,49.0,19.9,218.0,1.28,1.16,Killi,Nohut
6.2,96.6,50.7,377.3,3.61,0.11,MilliTinli,Maydanoz
7.45,69.6,26.3,211.3,3.29,0.14,KumluTinli,Zeytin
7.22,83.5,26.7,313.1,3.48,0.25,Tinli,Kenevir
7.28,80.9,26.0,248.2,3.2,0.51,AgirKilli,Tütün
7.46,32.4,31.7,192.4,2.26,0.37,Killi,Bezelye
6.09,50.2,35.5,244.3,2.12,0.12,KumluTinli,Kimyon
6.66,69.4,36.0,372.4,2.43,0.17,MilliTinli,Karpuz
6.81,93.0,53.4,358.9,3.46,0.45,TinliKumlu,Biber
6.44,73.2,20.4,212.8,2.0,0.22,KumluTinli,Papatya
6.91,52.0,33.4,261.1,2.8,0.36,Tinli,SekerPancari
7.44,52.7,30.2,256.1,2.05,0.37,KilliTinli,Cay
6.93,61.0,55.1,305.7,3.19,0.44,TinliKumlu,Lahana
6.77,62.8,29.6,219.1,2.48,0.26,KumluTinli,Anason
7.12,74.3,47.8,254.3,3.49,0.38,TinliKumlu,Turp
6.68,78.3,59.9,296.0,2.57,0.43,TinliKumlu,Lahana
7.21,50.2,27.7,280.1,2.62,0.22,KumluTinli,Armut
7.11,77.0,50.1,304.8,2.82,0.34,TinliKumlu,Kavun
5.98,71.9,30.8,290.1,2.9,0.32,Tinli,OglanOtu
6.51,55.9,23.0,230.0,2.15,0.13,Tinli,Anason
6.85,80.9,57.7,295.1,4.15,0.21,TinliKumlu,Domates
5.83,56.1,28.6,228.1,3.52,0.24,Tinli,Cilek
6.51,72.2,37.8,224.1,2.67,0.18,KilliTinli,Kiraz
7.3,60.1,46.7,251.8,3.21,0.36,Tinli,Keten
5.76,48.6,36.4,226.2,3.67,0.38,KumluTinli,Elma
6.89,70.7,40.9,194.7,3.64,0.25,KilliTinli,MeyanKoku
7.28,66.6,29.3,213.9,2.87,0.42,AgirKilli,Soya
7.44,72.4,34.6,232.2,2.98,0.28,AgirKilli,Soya
7.27,68.6,20.9,231.5,3.51,0.27,Tinli,Kayisi
6.88,97.0,54.8,272.0,3.35,0.44,MilliTinli,Domates
7.14,51.6,28.5,292.3,2.33,0.11,KumluTinli,Muz
7.12,77.5,39.7,195.6,2.16,0.11,KumluTinli,Kestane
6.66,27.0,34.5,214.5,1.66,0.93,MilliTinli,Mercimek
6.91,75.6,42.9,213.3,2.38,0.18,KumluTinli,Elma
6.4,76.7,31.7,213.0,2.28,0.1,KilliTinli,Kestane
7.85,60.5,30.1,231.7,3.36,0.75,Killi,Kanola
6.4,92.5,57.7,344.9,3.52,0.42,KumluTinli,Turp
6.01,69.8,35.9,272.7,2.65,0.32,Tinli,Rezene
6.84,58.5,35.3,212.7,2.55,0.13,KilliTinli,SiloMisiri
6.74,103.0,57.6,317.5,3.22,0.25,TinliKumlu,Tere
7.49,27.1,15.3,231.9,1.84,0.62,Tinli,Yulaf
7.37,43.8,36.9,196.0,3.76,0.25,Tinli,Rezene
5.93,69.1,36.1,298.3,2.43,0.28,KumluTinli,Uzum
6.36,78.8,23.5,250.5,2.4,0.34,KumluTinli,Korunga
6.93,67.3,48.9,348.5,3.17,0.35,TinliKumlu,Sarımsak
6.67,69.5,20.1,211.3,3.08,0.26,KilliTinli,Greyfurt
6.14,54.7,29.4,297.5,2.61,0.18,KumluTinli,Erik
7.61,71.8,35.0,251.7,2.09,0.47,Tinli,Kanola
6.45,73.5,43.9,290.5,4.48,0.41,MilliTinli,Domates
6.86,65.7,41.5,238.4,2.27,0.19,Tinli,Nane
5.93,50.5,25.2,271.8,3.9,0.32,KilliTinli,Kivi
6.68,96.1,47.6,253.5,2.58,0.29,KumluTinli,Patlican
6.82,37.0,29.4,230.1,1.68,0.78,Killi,Bezelye
5.78,55.6,27.1,268.0,2.22,0.33,Tinli,Findik
7.92,72.8,43.4,314.1,2.13,0.2,Tinli,YerFistigi
6.73,72.8,28.6,203.2,2.4,0.32,KumluTinli,Mandalina
6.68,51.9,21.4,180.3,2.2,0.34,KilliTinli,Kiraz
6.48,72.1,36.8,195.2,2.69,0.2,KumluTinli,Kayisi
6.9,67.0,38.0,318.6,3.32,0.39,TinliKumlu,Prasa
6.3,40.5,23.1,219.0,3.13,0.36,KilliTinli,Nar
6.24,63.0,42.1,299.7,3.96,0.35,TinliKumlu,TazeSogan
7.77,25.5,34.0,189.5,1.21,0.92,MilliTinli,Fasulye
7.16,57.1,36.0,294.4,3.68,0.23,KilliTinli,AntepFistigi
7.13,66.1,41.0,293.3,2.55,0.15,KumluTinli,Erik
6.96,62.7,24.9,258.6,3.37,0.38,KilliTinli,Kayisi
6.1,57.4,22.1,192.3,2.94,0.26,KumluTinli,Lavanta
7.18,81.6,44.2,291.2,3.29,0.43,KumluTinli,Sarımsak
7.13,72.8,31.3,237.3,3.28,0.56,Killi,YerFistigi
6.66,78.3,20.5,268.6,3.92,0.36,KumluTinli,Lavanta
6.86,75.3,25.9,211.5,3.41,0.15,Tinli,Cilek
6.11,49.9,29.6,186.6,3.62,0.4,KilliTinli,Elma
7.13,77.6,28.4,243.6,3.32,0.12,KilliTinli,Kestane
6.59,46.8,25.2,216.2,1.72,0.58,Tinli,Cavdar
6.3,84.7,53.6,249.2,2.21,0.32,KumluTinli,Karpuz
7.39,57.8,36.5,262.6,3.74,0.11,Tinli,SiloMisiri
6.87,62.7,49.8,250.7,2.2,0.78,AgirKilli,YerFistigi
7.07,68.2,48.8,302.1,2.22,0.22,Tinli,Soya
5.9,69.7,42.1,249.5,2.49,0.19,KilliTinli,Yonca
6.13,82.7,49.8,293.4,2.87,0.24,TinliKumlu,Kavun
7.72,50.5,31.9,201.0,2.07,0.46,Tinli,Arpa
6.13,43.4,31.6,269.8,2.44,0.17,Tinli,Nar
7.14,47.4,31.6,181.6,2.96,0.12,Tinli,Limon
7.82,88.6,39.5,309.0,3.21,0.74,AgirKilli,SekerPancari
6.62,66.9,30.8,193.9,2.21,0.33,Tinli,Limon
7.06,52.4,36.1,285.9,2.8,0.12,Tinli,Salep
6.06,95.5,52.5,267.7,2.6,0.14,KumluTinli,Turp
5.55,78.4,28.6,202.8,3.7,0.31,KilliTinli,Kusburnu
7.17,62.0,37.3,261.9,3.68,0.14,Tinli,Kayisi
5.85,63.7,33.5,239.3,3.03,0.15,KumluTinli,Nane
7.5,54.0,25.3,197.9,2.03,1.09,MilliTinli,Mercimek
6.37,56.2,29.2,279.2,2.31,0.2,KumluTinli,Badem
5.8,50.3,23.8,286.4,3.46,0.27,Tinli,OglanOtu
7.36,75.1,28.0,250.4,2.15,0.18,KilliTinli,Anason
7.29,61.0,23.4,247.8,3.26,0.36,Tinli,Ayva
6.46,73.1,40.4,289.9,2.6,0.38,KumluTinli,Portakal
5.97,55.0,24.6,188.7,2.45,0.26,KilliTinli,Kivi
6.69,61.6,36.6,268.9,2.88,0.37,KilliTinli,Kivi
6.91,98.8,47.1,373.1,4.38,0.1,KumluTinli,Ispanak
5.56,41.6,35.3,276.7,2.88,0.27,Tinli,Safran
7.17,58.4,26.8,298.3,3.65,0.4,KilliTinli,AntepFistigi
6.62,55.2,21.2,260.7,3.97,0.37,Tinli,Ceviz
7.32,77.5,20.3,267.3,2.62,0.21,Tinli,Kekik
6.5,61.3,36.5,185.0,3.44,0.12,KilliTinli,Ayva
7.13,50.1,33.7,239.1,1.64,1.19,MilliTinli,Fiğ
5.88,67.8,35.1,202.1,2.55,0.22,KilliTinli,Papatya
6.28,59.9,41.9,193.0,3.58,0.15,Tinli,SiloMisiri
6.01,56.0,40.2,296.0,3.27,0.33,Tinli,Findik
7.7,52.1,34.0,227.4,1.85,0.67,Tinli,Nohut
