pH,Azot_ppm,Fosfor_ppm,Potasyum_ppm,OrganikMadde,Tuzluluk,GecmisVerim_kg,ToprakTuru,UrunTipi,OnerilenAzot,OnerilenFosfor,OnerilenPotasyum
7.58,35.4,30.5,189.0,2.15,0.5,652.8,Killi,Burçak,4.5,7.4,0.0
6.3,91.7,49.8,320.3,4.18,0.26,2218.5,MilliTinli,Turp,14.2,8.3,0.0
6.88,57.4,26.2,278.3,3.6,0.31,3528.2,KumluTinli,Greyfurt,18.5,12.3,6.8
7.39,59.0,41.6,281.3,2.64,0.35,3288.1,Tinli,Mandalina,18.2,9.8,0.0
6.62,35.1,25.5,218.6,1.2,0.72,289.1,Killi,Bezelye,3.9,7.9,0.0
7.44,75.4,43.2,299.4,2.35,0.22,3471.7,KumluTinli,Kivi,16.1,9.7,5.6
6.64,66.5,33.6,283.7,3.47,0.26,3602.1,Tinli,Portakal,17.4,10.7,0.0
6.58,78.5,28.5,255.9,3.86,0.13,3399.9,KumluTinli,Biberiye,15.6,11.5,0.0
7.04,108.2,35.9,342.4,4.32,0.44,6004.7,MilliTinli,Hiyar,11.9,10.7,0.0
6.76,39.7,16.3,206.6,1.5,1.02,298.4,MilliTinli,Fasulye,3.4,9.7,0.0
5.71,65.5,37.7,183.8,3.87,0.12,3407.8,Tinli,Ayva,17.0,10.5,0.0
6.24,94.0,37.2,244.3,1.76,0.29,5237.7,MilliTinli,Karpuz,13.8,10.6,0.0
7.03,84.6,42.4,361.9,3.39,0.31,1942.6,KumluTinli,TazeSogan,14.7,9.6,4.4
6.62,61.6,20.9,298.4,2.25,0.17,3071.2,KumluTinli,Papatya,17.5,12.9,0.0
6.79,108.9,46.2,242.5,2.99,0.43,2063.6,TinliKumlu,Maydanoz,12.1,9.2,7.5
7.56,74.4,39.1,245.7,2.82,0.56,5280.5,AgirKilli,SekerPancari,9.2,6.3,0.0
7.22,54.1,37.1,230.8,2.43,0.38,409.4,Tinli,Pamuk,11.4,6.7,0.0
7.3,54.1,25.9,273.7,2.55,0.35,3407.6,KilliTinli,Elma,18.6,11.9,0.0
6.1,104.7,40.8,285.3,2.95,0.24,2086.3,KumluTinli,Tere,12.2,9.9,6.7
7.28,56.1,49.8,311.2,2.81,0.71,4968.2,AgirKilli,Aspir,11.4,4.5,0.0
7.11,71.6,27.6,189.7,2.81,0.15,3309.6,KumluTinli,Kusburnu,16.5,11.8,0.0
6.98,52.5,44.5,255.2,2.09,0.8,4786.6,AgirKilli,Aspir,11.4,5.5,0.0
6.66,67.2,24.7,254.3,2.65,0.35,3295.6,Tinli,Papatya,16.6,12.3,0.0
5.95,75.6,31.3,285.9,2.21,0.4,2998.3,KilliTinli,Kimyon,15.6,11.1,0.0
7.29,52.9,23.1,236.9,2.23,0.25,2720.6,KilliTinli,Findik,18.3,12.6,0.0
7.98,87.5,26.1,219.8,2.2,0.64,5221.1,Tinli,Kenevir,7.4,8.2,0.0
6.01,98.0,36.1,344.4,2.9,0.48,1969.0,KumluTinli,Tere,13.2,10.6,4.4
7.4,53.1,26.5,240.1,3.18,0.62,5270.3,Tinli,YerFistigi,11.8,7.9,0.0
7.38,50.4,30.7,284.7,3.68,0.16,3777.6,Tinli,Uzum,18.6,11.6,0.0
6.19,52.6,39.3,190.4,2.47,0.32,3009.0,KilliTinli,Cay,18.6,10.0,0.0
5.83,77.8,41.2,260.3,2.92,0.22,3544.1,Tinli,Rezene,15.5,10.1,0.0
5.69,57.6,24.9,202.4,2.19,0.21,3104.7,Tinli,Incir,18.4,12.3,0.0
7.19,89.9,49.5,278.7,2.19,0.61,351.1,Tinli,Pamuk,7.4,4.4,0.0
7.1,51.2,43.5,212.8,2.47,0.2,5454.6,Tinli,SekerPancari,11.7,5.6,0.0
5.54,56.9,20.7,295.9,2.25,0.31,2794.4,KumluTinli,YemSalgamı,18.5,13.0,0.0
5.57,63.3,44.9,282.7,3.04,0.12,3637.1,Tinli,Kayisi,17.5,9.5,0.0
6.09,72.7,45.9,306.1,2.59,0.16,1950.8,MilliTinli,Sarımsak,16.0,9.2,0.0
7.36,46.6,29.7,267.6,3.76,0.3,3620.4,Tinli,Salep,19.7,11.2,0.0
7.05,96.2,38.6,366.3,2.63,0.31,1866.5,MilliTinli,Havuc,13.4,10.3,0.0
6.63,85.6,40.0,330.4,2.59,0.4,1950.0,TinliKumlu,Marul,14.8,9.9,4.7
7.15,75.7,61.7,324.4,4.15,0.49,1918.4,KumluTinli,TazeSogan,16.3,6.9,5.7
6.74,70.1,46.9,245.5,3.45,0.32,5769.4,TinliKumlu,Domates,16.5,8.9,7.3
7.03,62.9,43.9,204.1,2.22,0.36,3442.9,Tinli,Erik,17.3,9.1,0.0
7.7,80.8,41.5,291.9,3.27,0.57,384.3,Tinli,Pamuk,8.0,5.7,0.0
7.52,64.3,41.2,214.8,3.33,0.5,394.7,Killi,Pamuk,10.3,5.8,0.0
6.13,44.1,29.0,212.4,3.69,0.19,3656.9,KumluTinli,Ceviz,20.1,11.4,0.0
7.04,40.1,41.5,202.3,3.1,0.22,3491.5,KumluTinli,Kusburnu,20.0,9.9,0.0
6.88,76.5,62.2,277.3,3.95,0.45,2137.7,MilliTinli,Biber,16.0,6.8,0.0
6.92,77.5,35.1,236.8,2.12,0.3,3348.5,KumluTinli,Kekik,15.8,10.8,0.0
6.33,52.1,39.0,222.5,3.9,0.39,3530.3,KumluTinli,Kivi,18.7,9.9,8.1
7.95,70.9,49.4,290.9,2.24,0.49,5197.1,Tinli,Soya,9.7,4.8,0.0
6.07,82.2,43.3,327.1,4.48,0.25,2226.9,KumluTinli,Roka,14.9,9.8,4.9
6.35,89.7,36.0,329.0,3.23,0.22,2158.7,TinliKumlu,Kereviz,14.5,10.5,5.3
7.02,81.1,44.1,285.5,3.93,0.43,2210.4,MilliTinli,Kereviz,15.2,9.2,0.0
6.55,106.0,55.8,342.1,4.22,0.21,2281.9,TinliKumlu,Havuc,12.4,7.4,4.4
7.95,78.6,48.8,227.2,3.32,0.69,411.2,Tinli,Pamuk,8.8,4.5,0.0
7.74,79.3,27.9,293.7,3.18,0.56,339.5,AgirKilli,Pamuk,8.4,8.1,0.0
6.03,40.6,44.1,210.1,3.35,0.31,3299.9,KumluTinli,Kestane,20.5,9.1,0.0
7.78,70.5,36.0,319.6,2.34,0.53,4788.9,AgirKilli,SekerPancari,9.8,6.7,0.0
5.91,72.0,28.3,283.8,3.83,0.36,3523.0,KumluTinli,Anason,16.5,11.7,0.0
6.87,44.4,27.2,217.2,2.5,0.25,3454.8,KilliTinli,Erik,19.9,11.7,0.0
6.56,71.6,27.4,245.0,2.69,0.22,3268.2,KumluTinli,Kestane,16.1,11.7,0.0
6.61,65.7,57.9,335.0,4.05,0.48,1964.0,KumluTinli,Patlican,17.1,7.3,5.1
6.99,73.9,33.6,297.8,2.9,0.25,3186.9,KumluTinli,Cay,15.9,10.9,6.0
6.46,93.1,45.4,294.7,2.82,0.2,5400.4,TinliKumlu,Kavun,13.9,9.3,5.9
6.56,73.9,54.6,355.3,1.56,0.41,4889.2,TinliKumlu,Karpuz,15.8,7.9,4.2
7.22,79.9,26.0,184.8,2.82,0.14,3173.2,KilliTinli,Greyfurt,15.5,11.9,0.0
6.8,72.2,37.9,251.2,2.11,0.24,3452.2,KumluTinli,Incir,16.4,10.1,7.6
7.34,63.3,34.8,222.6,2.1,0.11,3434.5,KumluTinli,Kestane,17.5,10.6,0.0
6.04,44.0,24.2,197.7,3.95,0.33,3509.7,KilliTinli,Incir,19.4,12.2,0.0
6.93,51.3,29.1,202.9,2.69,0.26,3287.5,Tinli,Cay,19.2,11.9,0.0
6.34,66.6,60.6,263.1,4.21,0.3,2076.3,MilliTinli,Ispanak,17.4,6.9,0.0
5.97,77.9,43.6,253.2,3.85,0.34,3609.2,Tinli,Portakal,15.6,9.4,0.0
5.88,76.9,37.4,253.3,2.4,0.12,3273.3,KilliTinli,Cay,15.8,10.6,0.0
6.65,77.3,48.1,351.2,3.06,0.16,2054.6,TinliKumlu,Ispanak,15.8,9.1,4.8
7.29,76.4,27.8,262.9,2.54,0.16,3429.6,KumluTinli,Incir,15.6,11.8,6.8
5.63,63.8,38.5,183.9,3.32,0.26,3356.7,KilliTinli,Nane,17.6,10.5,0.0
7.26,82.3,45.6,246.2,2.69,0.38,5167.7,Tinli,Tütün,8.2,5.4,0.0
6.85,66.3,21.8,227.4,2.36,0.15,3528.2,KumluTinli,AdaCayi,16.7,12.6,0.0
7.38,70.6,32.7,268.8,2.49,0.22,5572.0,Tinli,SekerPancari,9.3,6.9,0.0
6.18,72.2,21.3,199.2,2.67,0.12,3580.2,KilliTinli,Portakal,16.1,13.0,0.0
7.11,49.0,25.7,278.1,3.86,0.13,3585.7,KumluTinli,Armut,19.3,11.9,6.7
7.58,85.0,44.8,216.9,2.82,0.26,5768.7,AgirKilli,YerFistigi,7.6,5.0,0.0
7.28,79.7,27.4,205.2,3.53,0.18,3583.8,KilliTinli,Yonca,15.3,12.0,0.0
6.75,72.3,41.1,237.9,3.55,0.3,3163.6,KumluTinli,Anason,16.6,9.9,0.0
6.38,41.7,37.1,288.3,3.67,0.14,3526.3,KumluTinli,Kusburnu,20.1,10.2,0.0
6.39,61.3,41.8,299.5,3.17,0.34,3536.4,KumluTinli,Kivi,17.7,9.8,5.9
7.17,83.7,37.0,246.7,3.09,0.47,2137.8,MilliTinli,Havuc,14.8,10.5,0.0
6.7,77.3,59.5,305.3,1.58,0.17,5308.3,TinliKumlu,Karpuz,15.6,7.0,5.5
7.24,63.1,28.6,276.4,3.08,0.12,3397.9,KilliTinli,Incir,17.5,11.9,0.0
6.46,72.4,43.8,182.6,3.97,0.13,3446.7,KilliTinli,Elma,15.9,9.2,0.0
6.87,74.2,44.1,262.8,2.34,0.6,5026.7,Tinli,Kenevir,8.9,5.4,0.0
7.78,48.9,30.1,214.4,1.38,0.35,313.6,Killi,Burçak,3.0,7.2,0.0
7.06,79.7,26.0,284.9,3.66,0.17,3088.9,Tinli,Muz,15.2,12.3,0.0
6.96,68.0,34.7,292.6,2.7,0.17,3303.1,Tinli,Ceviz,17.0,10.5,0.0
7.55,72.0,35.2,262.6,3.34,0.32,5629.9,AgirKilli,YerFistigi,9.5,6.9,0.0
7.12,61.0,39.6,364.1,3.42,0.33,1765.5,MilliTinli,Patlican,17.9,9.9,0.0
7.27,55.2,41.8,287.5,2.86,0.32,5014.5,Killi,Susam,11.5,5.7,0.0
7.4,53.4,28.7,186.5,1.75,0.88,283.0,Killi,Cavdar,11.2,7.7,0.0
6.61,90.2,48.8,356.0,4.16,0.38,2107.2,MilliTinli,TazeSogan,14.5,8.5,0.0
6.15,80.8,36.9,295.5,3.45,0.28,2140.3,KumluTinli,Prasa,15.5,10.3,6.4
5.96,68.2,27.7,209.1,2.15,0.32,3083.4,Tinli,Badem,16.6,11.6,0.0
6.31,49.4,40.5,220.5,3.66,0.1,3442.6,Tinli,Erik,19.0,9.7,0.0
6.82,50.8,18.4,228.3,1.21,0.76,292.9,Tinli,Bugday,12.3,9.3,0.0
6.91,60.1,40.7,241.0,3.24,0.24,3650.1,Tinli,Cay,18.1,10.1,0.0
6.99,40.5,23.3,175.9,1.65,0.37,651.3,Killi,Arpa,13.0,8.3,0.0
6.5,63.3,34.5,186.5,2.63,0.25,3492.1,Tinli,Korunga,17.2,10.9,0.0
7.02,80.0,38.6,224.5,2.44,0.65,4976.8,AgirKilli,Susam,8.5,6.4,0.0
6.93,83.7,40.4,239.1,2.29,0.53,5068.8,Tinli,Kenevir,8.2,5.8,0.0
6.73,46.2,29.2,231.9,1.84,0.41,310.0,Tinli,Celtik,12.1,7.5,0.0
6.98,59.4,22.1,296.7,3.04,0.28,3294.3,KumluTinli,Uzum,17.8,12.9,5.8
6.63,60.7,27.1,242.1,3.7,0.31,3742.3,KumluTinli,Portakal,18.1,11.7,7.7
6.04,52.6,41.1,237.2,3.34,0.22,3263.3,KilliTinli,Salep,18.5,9.9,0.0
6.23,77.5,26.9,219.9,3.4,0.33,3013.1,KilliTinli,Portakal,15.6,11.8,0.0
6.69,93.7,35.5,287.5,4.09,0.13,1934.9,TinliKumlu,Roka,13.9,10.8,6.0
7.42,61.6,36.7,302.9,2.46,0.32,5168.7,Killi,Aycicegi,10.2,6.2,0.0
6.37,61.4,31.9,226.7,3.77,0.37,3731.3,KumluTinli,Findik,17.3,11.2,0.0
7.94,53.7,29.0,315.3,2.81,0.21,5215.0,Tinli,YerFistigi,11.9,7.9,0.0
5.88,70.0,25.9,197.2,2.37,0.15,3481.1,KumluTinli,Badem,16.3,12.2,0.0
7.47,26.4,34.0,216.9,1.21,0.99,295.6,MilliTinli,Bugday,14.6,7.0,0.0
6.94,40.3,32.7,196.7,3.73,0.36,3668.4,KilliTinli,Nane,20.0,11.1,0.0
6.64,40.1,26.5,242.2,3.44,0.15,3368.7,KumluTinli,OglanOtu,20.2,11.9,0.0
6.59,45.3,37.3,275.4,2.33,0.13,3135.8,KilliTinli,Ceviz,19.9,10.4,0.0
6.95,73.5,44.4,297.1,2.13,0.35,3254.2,KumluTinli,Safran,16.4,9.5,0.0
6.85,73.9,46.7,306.9,2.67,0.48,5156.2,AgirKilli,Aycicegi,8.8,5.3,0.0
6.98,76.3,45.5,323.5,3.05,0.11,2011.4,TinliKumlu,Prasa,16.0,9.4,5.4
7.43,30.3,19.7,199.5,2.21,0.49,337.0,MilliTinli,Misir,14.6,8.9,0.0
6.1,47.5,27.6,191.2,2.29,0.13,3320.5,KumluTinli,Salep,19.5,12.1,0.0
6.64,48.4,33.2,190.6,1.89,0.69,296.9,MilliTinli,Arpa,12.5,7.3,0.0
5.92,50.6,36.6,295.9,3.83,0.25,3464.2,Tinli,Cay,18.8,10.3,0.0
6.66,52.0,20.9,256.2,3.72,0.2,3631.0,KumluTinli,AdaCayi,19.1,12.7,0.0
6.04,79.3,29.6,201.3,2.7,0.23,3352.0,Tinli,SiloMisiri,15.6,11.5,0.0
5.8,77.2,31.5,201.8,2.6,0.12,3534.6,KumluTinli,Biberiye,15.6,11.0,0.0
7.35,54.6,22.6,264.3,2.6,0.18,3407.1,KumluTinli,Elma,18.7,12.7,6.7
6.33,80.0,64.5,315.1,3.51,0.2,2178.4,KumluTinli,Marul,15.3,6.6,5.9
6.91,66.7,46.3,302.7,2.15,0.25,5328.7,Tinli,Aycicegi,10.4,5.3,0.0
6.48,73.9,40.8,228.4,2.67,0.25,3474.4,Tinli,Korunga,16.2,10.2,0.0
7.33,63.3,31.6,278.2,3.37,0.16,3304.2,KilliTinli,AdaCayi,17.1,11.3,0.0
7.26,47.8,27.8,254.5,3.28,0.31,3589.8,KumluTinli,Papatya,19.0,12.1,0.0
6.97,52.1,40.6,206.5,3.25,0.51,5437.9,Killi,Keten,11.9,5.9,0.0
6.02,53.5,30.1,186.1,2.99,0.14,3574.5,KilliTinli,Elma,18.6,11.2,0.0
7.48,43.2,18.3,223.8,1.99,0.38,325.6,MilliTinli,Fasulye,2.6,9.5,0.0
6.53,67.1,38.1,315.0,2.67,0.22,1894.9,TinliKumlu,Marul,17.2,10.5,5.4
7.45,64.4,27.0,223.2,3.43,0.45,428.1,Killi,Pamuk,10.3,7.8,0.0
5.92,73.9,42.7,245.0,3.26,0.18,3534.4,KilliTinli,Muz,16.2,9.4,0.0
6.4,82.0,60.7,335.8,4.26,0.18,5076.1,KumluTinli,Hiyar,15.1,6.8,5.1
6.62,62.1,22.9,195.1,3.06,0.18,3339.6,KilliTinli,AdaCayi,17.6,12.5,0.0
7.44,68.6,43.1,242.1,2.23,0.26,3151.6,Tinli,AdaCayi,17.1,9.3,0.0
6.25,103.7,35.9,252.7,4.21,0.35,2081.9,TinliKumlu,Havuc,12.3,10.4,7.7
6.69,38.3,21.7,201.7,1.84,0.31,282.9,Killi,Cavdar,13.2,9.0,0.0
7.29,68.8,26.2,222.9,3.19,0.47,5750.4,Tinli,Kenevir,9.4,7.9,0.0
7.14,46.9,40.2,263.1,3.11,0.31,3472.4,KilliTinli,Badem,19.0,9.9,0.0
7.55,36.6,30.9,184.5,1.28,1.14,632.4,Killi,Bugday,13.2,7.6,0.0
6.9,25.7,15.1,178.2,1.65,1.07,665.2,Tinli,Arpa,14.6,9.6,0.0
5.79,70.6,39.7,256.7,3.71,0.32,3439.2,KumluTinli,Kestane,16.4,10.1,0.0
5.53,52.5,34.7,196.6,2.85,0.27,3402.9,KilliTinli,Elma,18.9,11.0,0.0
6.67,32.1,33.7,228.8,1.98,0.73,643.6,Killi,Arpa,13.8,7.0,0.0
5.54,53.1,35.7,213.0,3.82,0.29,3469.6,KumluTinli,Uzum,18.4,10.8,8.5
7.12,79.2,49.8,365.5,4.11,0.1,5680.3,MilliTinli,Kavun,15.1,8.6,0.0
6.94,74.5,36.4,241.4,2.32,0.12,3479.7,Tinli,Salep,15.9,10.7,0.0
7.81,64.5,41.5,256.5,2.3,0.56,4848.1,Killi,Aspir,10.2,5.7,0.0
7.5,35.5,22.5,202.7,1.2,0.52,287.8,Tinli,Yulaf,13.7,8.8,0.0
7.27,40.2,15.4,234.6,1.29,0.92,288.8,Tinli,Burçak,2.7,9.6,0.0
7.03,57.3,32.1,257.8,2.04,0.3,3003.1,KilliTinli,Ceviz,18.3,11.2,0.0
7.89,54.9,38.4,305.5,2.62,0.49,4993.3,Killi,Aspir,11.4,6.4,0.0
7.68,61.5,43.4,208.4,3.3,0.5,5442.1,Tinli,SekerPancari,10.4,5.3,0.0
5.76,70.6,43.3,293.7,2.74,0.14,3349.7,KumluTinli,Lavanta,16.5,9.7,0.0
6.44,67.1,55.9,263.0,4.01,0.49,2183.1,MilliTinli,Prasa,16.8,7.3,0.0
6.77,61.2,47.9,362.5,3.1,0.14,1935.9,KumluTinli,Ispanak,17.3,9.0,4.1
6.38,70.8,26.6,180.6,3.34,0.39,3595.6,KumluTinli,Visne,16.6,12.0,9.3
6.4,62.1,49.9,316.2,2.84,0.4,5462.0,MilliTinli,Hiyar,17.3,8.4,0.0
6.11,108.8,43.6,299.3,3.8,0.11,2018.5,MilliTinli,Prasa,12.2,9.2,0.0
6.28,56.6,31.7,224.1,2.2,0.19,3423.9,KilliTinli,Lavanta,18.1,11.4,0.0
8.0,83.8,40.3,204.8,3.35,0.53,5742.3,Killi,YerFistigi,8.2,5.7,0.0
7.15,51.0,34.1,192.4,1.76,1.17,675.7,Tinli,Mercimek,2.9,7.2,0.0
6.23,101.3,59.9,280.9,4.25,0.41,2205.2,MilliTinli,Havuc,12.6,7.3,0.0
6.9,60.4,40.1,321.3,3.93,0.47,1879.5,KumluTinli,Marul,17.4,10.0,5.5
5.86,76.1,29.9,209.4,2.9,0.2,3332.5,Tinli,Zeytin,15.5,11.6,0.0
6.14,63.7,21.8,197.7,2.15,0.34,3320.3,KilliTinli,Seftali,17.1,12.9,0.0
5.84,64.8,38.0,248.3,3.48,0.14,3424.5,KilliTinli,Safran,17.4,10.2,0.0
5.78,43.8,30.6,292.0,3.08,0.26,3506.7,KilliTinli,Kestane,20.1,11.2,0.0
6.93,66.4,35.6,213.9,2.76,0.13,3512.0,KilliTinli,Armut,17.4,10.5,0.0
7.76,68.2,41.8,238.2,2.57,0.79,5076.3,Killi,Aycicegi,9.9,5.7,0.0
6.27,74.8,34.2,232.7,2.13,0.24,2925.6,KilliTinli,Ceviz,16.4,10.6,0.0
6.59,66.2,29.7,257.7,2.09,0.12,3467.2,KilliTinli,Papatya,17.2,11.5,0.0
7.2,26.5,15.0,179.6,1.95,0.41,322.2,MilliTinli,Fiğ,1.9,9.6,0.0
7.74,26.9,27.1,164.6,2.18,0.78,332.8,Killi,Arpa,14.8,7.8,0.0
6.82,45.5,37.2,289.6,3.22,0.27,3256.1,KumluTinli,Kivi,19.2,10.6,6.5
7.14,42.4,35.3,225.4,3.59,0.36,3388.4,Tinli,Kimyon,20.3,11.0,0.0
6.46,53.3,31.2,248.5,2.87,0.22,3597.9,KumluTinli,Kestane,18.8,11.3,0.0
7.32,78.5,30.7,203.7,3.25,0.31,3324.8,KumluTinli,Lavanta,15.4,11.5,0.0
6.79,55.0,43.8,182.7,2.61,0.38,3397.9,KilliTinli,Greyfurt,18.7,9.2,0.0
7.04,74.7,35.1,271.3,3.18,0.5,1924.2,TinliKumlu,Biber,15.6,10.5,7.0
6.13,51.8,38.3,284.6,2.39,0.13,3089.4,KilliTinli,SiloMisiri,19.0,10.2,0.0
6.5,103.0,42.6,377.3,3.73,0.42,1926.1,MilliTinli,Tere,12.9,9.3,0.0
6.37,71.4,22.3,242.5,3.67,0.35,3381.7,Tinli,Rezene,16.2,12.8,0.0
7.84,68.6,43.6,274.3,3.2,0.46,5185.6,Killi,Keten,9.9,5.5,0.0
7.49,38.4,30.8,209.5,1.32,0.44,306.2,MilliTinli,Celtik,13.1,7.2,0.0
7.19,54.3,40.8,282.1,2.85,0.12,3327.7,KumluTinli,Kiraz,18.7,10.2,6.8
6.25,92.7,47.5,265.2,3.88,0.33,6044.8,MilliTinli,Hiyar,14.0,9.0,0.0
6.28,59.6,22.8,230.3,2.63,0.11,3359.1,Tinli,Erik,18.1,12.4,0.0
7.23,56.5,37.2,295.3,2.99,0.26,5083.7,Killi,Susam,11.3,6.7,0.0
5.63,63.7,39.3,279.4,2.34,0.37,2756.0,Tinli,OglanOtu,17.3,10.0,0.0
5.52,77.1,21.7,224.0,2.81,0.1,3291.5,Tinli,Mandalina,15.7,12.9,0.0
7.87,71.7,49.5,297.2,2.83,0.77,5225.8,Tinli,Kenevir,9.2,4.4,0.0
6.83,52.5,30.5,261.5,2.82,0.22,5647.4,Tinli,Aspir,11.4,7.1,0.0
7.09,103.2,55.2,270.0,3.78,0.3,2189.9,MilliTinli,TazeSogan,12.9,7.7,0.0
6.86,70.7,37.6,217.9,2.16,0.27,4972.3,Tinli,SekerPancari,9.8,6.3,0.0
5.79,74.3,27.7,259.1,3.13,0.24,3502.6,Tinli,AntepFistigi,16.5,11.8,0.0
6.38,83.0,42.1,327.8,3.1,0.49,1979.8,TinliKumlu,Tere,14.9,9.6,5.0
6.38,79.8,30.5,253.0,2.21,0.24,2909.3,KilliTinli,Ayva,15.6,11.4,0.0
6.21,102.4,43.9,323.8,3.51,0.12,2159.4,KumluTinli,Maydanoz,13.0,9.6,5.5
7.23,54.3,35.5,287.3,2.16,0.32,5082.6,Killi,Aspir,11.3,6.6,0.0
7.46,42.1,16.3,169.3,1.86,0.55,708.9,Killi,Fasulye,3.6,9.4,0.0
6.99,54.7,44.0,311.3,2.69,0.6,5055.4,AgirKilli,Susam,11.1,5.5,0.0
6.29,62.9,43.8,242.0,3.64,0.26,3576.7,KumluTinli,Kivi,17.8,9.6,7.6
7.31,50.6,31.0,163.3,1.62,0.33,330.6,Tinli,Yulaf,11.8,7.1,0.0
7.07,79.6,63.9,298.2,3.7,0.38,2159.3,KumluTinli,Havuc,15.3,6.6,6.1
5.72,77.3,28.3,206.3,2.99,0.18,3224.4,KilliTinli,Anason,16.0,11.5,0.0
5.81,60.2,30.3,285.2,2.25,0.36,3434.9,KumluTinli,Nar,18.0,11.5,6.8
6.02,65.0,49.9,336.6,3.17,0.38,2058.5,TinliKumlu,Turp,17.2,8.3,4.7
6.17,51.6,33.5,182.8,2.16,0.23,3308.1,KumluTinli,Cilek,18.9,11.0,9.5
6.7,59.7,39.6,293.7,2.71,0.17,3235.7,KilliTinli,Nar,18.2,10.2,0.0
5.9,43.1,39.7,280.3,2.33,0.36,3388.7,Tinli,Muz,19.5,9.8,0.0
6.95,55.1,20.2,181.1,2.92,0.25,3270.3,KilliTinli,Cay,18.1,12.9,0.0
7.35,54.2,36.5,299.9,2.53,0.27,3086.8,KumluTinli,Korunga,18.2,10.8,0.0
7.18,79.0,28.0,220.2,2.47,0.56,5251.7,AgirKilli,Aspir,8.2,7.7,0.0
6.08,46.4,33.6,243.9,2.15,0.31,3223.8,Tinli,Badem,19.2,10.8,0.0
7.41,44.6,43.7,268.0,3.27,0.29,3496.4,Tinli,MeyanKoku,20.0,9.7,0.0
5.86,56.3,28.9,274.9,3.02,0.14,3212.6,KumluTinli,Limon,18.1,11.5,6.7
7.51,84.9,26.2,246.3,2.24,0.62,5284.1,Tinli,YerFistigi,8.1,8.1,0.0
5.61,56.5,34.5,227.1,3.16,0.25,3446.0,KilliTinli,Kusburnu,18.6,10.6,0.0
6.84,76.5,32.6,295.9,3.88,0.36,3321.1,Tinli,Nar,15.5,11.1,0.0
6.35,58.3,32.9,279.8,3.32,0.2,3618.6,KumluTinli,Kimyon,17.7,11.1,0.0
7.31,41.7,30.8,186.3,2.19,0.3,3132.0,Tinli,Yonca,20.0,11.1,0.0
6.5,51.0,36.2,266.6,3.73,0.24,3514.3,KilliTinli,Kekik,19.1,10.7,0.0
6.89,72.4,33.3,218.6,3.27,0.51,5280.9,AgirKilli,Keten,9.2,6.7,0.0
7.09,78.8,34.3,206.4,3.72,0.32,3291.6,Tinli,OglanOtu,15.5,11.1,0.0
7.18,104.9,63.6,294.1,4.07,0.35,2038.0,TinliKumlu,Marul,12.1,6.7,5.8
