pH,EC,Sertlik,Nitrat,Nitrit,Sodyum,Klor,SulamayaUygun
7.1,0.69,22.0,11.5,0.023,40.8,31.0,True
7.34,0.58,18.9,11.8,0.021,13.6,18.3,True
7.68,0.29,21.4,16.4,0.016,27.3,37.6,True
8.84,4.01,44.6,51.5,1.877,162.3,305.9,False
7.25,0.25,12.1,22.8,0.026,43.3,59.9,True
6.93,0.66,13.4,16.4,0.032,42.5,26.8,True
6.75,0.72,11.5,7.1,0.03,17.3,28.8,True
6.82,0.5,17.6,10.1,0.007,10.4,16.0,True
8.74,3.06,64.8,89.8,0.672,256.2,200.9,False
6.63,0.63,15.2,13.5,0.023,22.6,43.2,True
7.65,0.39,11.7,7.4,0.029,10.2,36.2,True
6.67,0.28,10.6,16.3,0.014,35.7,45.9,True
7.4,0.78,20.2,18.6,0.038,27.9,56.1,True
6.7,0.87,10.5,24.6,0.005,40.6,28.8,True
7.08,0.42,16.0,11.8,0.031,29.0,54.5,True
7.38,0.48,16.7,17.7,0.039,12.4,33.8,True
8.75,2.87,60.5,67.5,1.952,292.7,352.4,False
7.51,0.35,15.4,8.1,0.039,37.3,48.2,True
6.86,0.82,16.6,13.3,0.008,35.0,46.6,True
6.63,0.43,10.9,6.5,0.012,27.0,50.3,True
8.77,4.4,44.0,89.6,1.449,178.7,281.7,False
5.14,4.4,41.2,62.5,0.962,186.2,288.4,False
7.4,0.78,14.9,18.9,0.012,44.1,30.7,True
9.15,4.3,57.5,52.6,1.572,224.4,379.2,False
9.62,3.1,47.0,57.1,0.502,276.5,340.2,False
7.53,0.53,16.8,20.8,0.025,22.5,18.9,True
6.79,0.76,19.7,9.1,0.017,14.7,18.3,True
7.69,0.78,21.8,11.5,0.013,21.6,58.0,True
7.03,0.67,19.4,18.3,0.036,20.0,55.5,True
7.22,0.39,15.7,14.4,0.019,38.7,35.3,True
7.44,0.77,14.9,19.9,0.019,33.7,49.4,True
6.94,0.73,13.5,20.3,0.031,18.6,47.8,True
6.72,0.66,16.6,7.4,0.009,12.5,48.5,True
6.98,0.22,11.6,8.5,0.007,33.0,52.7,True
7.78,0.52,14.3,10.9,0.011,37.7,58.0,True
8.52,3.06,38.3,64.1,0.76,199.7,277.7,False
7.51,0.44,12.1,16.7,0.028,34.9,54.7,True
7.6,0.8,17.2,16.5,0.033,37.5,55.1,True
6.87,0.67,10.2,20.1,0.014,20.9,38.8,True
6.57,0.41,21.1,8.4,0.007,25.5,53.3,True
7.6,0.58,15.0,24.5,0.025,40.3,57.9,True
6.68,0.46,18.5,12.7,0.014,30.2,33.8,True
6.72,0.27,20.9,25.0,0.011,11.9,29.8,True
6.76,0.67,12.2,17.3,0.019,32.9,59.8,True
7.01,0.33,16.7,18.9,0.024,25.2,32.4,True
7.57,0.55,21.0,17.6,0.034,15.2,53.5,True
8.45,2.98,47.0,63.6,1.154,241.2,215.4,False
7.61,0.74,10.8,17.4,0.013,29.5,58.1,True
6.76,0.54,20.7,16.3,0.029,21.9,40.7,True
8.5,2.28,64.9,84.9,0.946,181.2,270.1,False
6.8,0.82,10.7,8.5,0.024,26.8,17.1,True
6.93,0.28,21.2,10.8,0.023,23.7,58.2,True
7.6,0.36,15.3,8.1,0.026,18.8,30.0,True
6.66,0.85,16.6,20.9,0.017,30.7,37.3,True
9.63,4.24,56.5,55.3,1.911,284.0,263.1,False
7.65,0.5,19.3,24.4,0.018,24.2,55.8,True
6.52,0.22,15.8,11.0,0.035,31.1,35.4,True
8.89,2.93,60.6,58.8,0.77,142.5,234.2,False
7.14,0.77,14.1,12.8,0.031,12.6,53.9,True
5.53,3.18,39.1,66.6,0.723,245.1,354.9,False
7.66,0.38,12.9,10.3,0.017,13.8,46.4,True
6.85,0.84,15.6,13.5,0.035,20.9,51.8,True
6.68,0.78,21.1,20.8,0.012,24.4,42.0,True
5.42,2.23,41.1,77.3,1.647,274.4,251.4,False
6.69,0.59,12.2,5.8,0.006,39.1,41.6,True
6.86,0.6,21.2,5.7,0.032,35.3,58.4,True
8.9,4.29,50.1,60.8,1.398,172.3,205.6,False
8.91,2.23,48.5,67.3,1.328,273.3,358.5,False
7.27,0.28,13.9,16.3,0.012,38.0,58.7,True
7.72,0.23,19.0,6.4,0.021,16.1,21.3,True
7.63,0.49,12.0,20.1,0.034,40.8,42.3,True
8.49,3.33,59.4,54.0,0.604,164.6,350.5,False
7.42,0.42,16.9,16.9,0.016,22.2,49.3,True
8.98,3.35,47.7,56.9,1.037,170.9,232.8,False
6.69,0.33,12.5,9.8,0.013,23.8,44.4,True
7.73,0.89,10.5,8.0,0.02,16.5,31.4,True
5.26,2.98,52.9,87.0,1.881,186.1,344.5,False
7.74,0.58,18.1,7.0,0.018,36.9,46.8,True
6.65,0.72,19.2,24.4,0.032,18.5,16.8,True
7.01,0.74,15.3,11.9,0.021,36.2,55.6,True
4.58,3.67,52.6,59.2,1.468,193.6,383.1,False
7.5,0.82,18.4,11.8,0.02,15.0,22.6,True
7.18,0.21,15.8,21.8,0.013,22.3,15.9,True
7.14,0.65,15.0,11.0,0.038,14.0,30.6,True
7.53,0.32,14.1,20.2,0.038,23.0,52.3,True
4.95,4.31,60.6,73.2,1.281,288.9,385.8,False
6.55,0.6,14.8,24.6,0.023,29.3,47.1,True
7.68,0.36,12.3,17.3,0.032,29.8,25.3,True
7.49,0.32,14.1,9.5,0.018,18.1,41.1,True
9.53,4.34,55.6,51.4,1.728,172.0,311.6,False
7.7,0.43,19.4,9.9,0.028,21.3,37.9,True
7.04,0.23,15.2,18.5,0.02,40.5,30.0,True
6.91,0.82,16.7,16.7,0.022,29.2,23.9,True
4.63,2.9,54.6,69.5,1.049,243.3,389.0,False
6.62,0.37,11.2,18.8,0.006,31.6,21.3,True
6.53,0.53,10.7,8.7,0.025,40.3,54.7,True
7.02,0.42,21.2,20.8,0.009,14.2,56.5,True
9.69,2.95,43.7,70.9,0.619,158.8,226.9,False
7.64,0.4,19.7,9.2,0.015,16.7,26.9,True
6.92,0.61,13.8,17.2,0.039,33.5,31.3,True
7.77,0.44,17.8,12.9,0.036,39.6,25.9,True
7.34,0.32,21.7,14.8,0.007,42.8,41.4,True
7.6,0.21,20.3,14.0,0.005,24.1,23.4,True
7.6,0.34,21.2,10.0,0.031,20.0,29.3,True
7.4,0.61,18.3,21.6,0.006,21.4,58.2,True
7.0,0.67,15.9,6.8,0.019,13.3,23.6,True
7.19,0.4,19.8,10.8,0.04,38.6,46.9,True
5.06,4.31,61.9,86.8,1.862,224.4,236.1,False
7.36,0.28,13.5,7.6,0.035,36.1,24.1,True
7.1,0.88,18.1,13.1,0.006,29.8,19.3,True
7.1,0.85,14.7,13.1,0.028,28.4,31.9,True
9.72,3.55,51.5,53.1,1.915,155.9,369.5,False
7.38,0.63,11.8,21.7,0.02,17.8,18.9,True
6.65,0.64,18.8,12.9,0.03,21.4,50.5,True
7.68,0.39,12.5,12.3,0.028,40.2,20.9,True
6.65,0.41,21.9,11.5,0.038,23.7,34.8,True
7.46,0.72,15.1,7.5,0.024,23.4,21.2,True
7.14,0.3,11.6,10.1,0.039,23.3,40.5,True
6.9,0.62,12.9,16.7,0.019,11.2,33.1,True
6.78,0.34,11.0,20.9,0.016,40.0,42.4,True
7.46,0.23,13.1,18.9,0.014,35.5,59.8,True
6.66,0.3,20.7,24.8,0.015,15.0,36.7,True
6.8,0.78,18.2,9.7,0.018,27.7,38.8,True
6.89,0.25,13.0,9.0,0.024,31.1,42.4,True
5.38,3.83,36.7,75.3,1.647,264.6,351.7,False
7.57,0.4,12.0,19.1,0.027,40.8,58.3,True
7.71,0.64,19.5,8.4,0.012,28.6,22.9,True
7.07,0.76,20.3,21.9,0.016,27.7,44.3,True
7.47,0.32,10.2,13.4,0.028,27.7,55.1,True
6.67,0.57,18.8,16.1,0.014,22.4,43.7,True
7.47,0.86,16.0,13.2,0.008,41.2,26.1,True
7.48,0.37,18.1,5.9,0.034,15.9,46.4,True
7.74,0.66,18.1,8.6,0.022,22.8,36.2,True
7.32,0.77,20.0,16.6,0.006,44.1,36.2,True
7.8,0.71,21.4,8.3,0.013,15.4,28.6,True
6.77,0.33,15.7,22.8,0.021,24.5,41.0,True
5.14,4.18,41.5,57.0,0.88,282.6,387.6,False
7.78,0.7,11.0,12.9,0.023,39.4,47.8,True
7.4,0.79,14.3,9.7,0.027,42.2,23.2,True
7.76,0.31,18.7,14.6,0.031,33.1,34.8,True
6.87,0.4,10.9,11.2,0.023,30.5,18.0,True
5.63,3.56,55.2,51.5,1.783,285.0,368.6,False
7.61,0.56,17.5,6.8,0.02,18.0,26.4,True
7.67,0.23,16.2,6.0,0.007,41.1,49.5,True
7.52,0.81,18.6,15.5,0.015,39.9,36.6,True
6.77,0.63,13.0,22.5,0.009,11.1,19.0,True
9.58,3.6,40.4,71.9,1.752,188.4,364.9,False
5.23,2.75,42.6,50.0,0.6,147.2,362.8,False
7.3,0.52,10.5,5.7,0.008,22.4,15.3,True
7.07,0.85,11.7,10.8,0.016,11.1,16.6,True
9.26,2.71,35.0,87.4,0.959,171.5,246.3,False
6.81,0.38,12.9,8.9,0.034,16.0,40.3,True
6.78,0.64,14.6,14.6,0.034,27.5,44.4,True
7.23,0.39,10.4,21.3,0.009,22.9,36.5,True
6.95,0.7,12.6,10.3,0.031,16.2,26.1,True
6.78,0.34,13.9,5.1,0.029,19.4,51.7,True
7.65,0.49,17.4,15.6,0.018,23.6,40.0,True
7.52,0.68,15.4,13.4,0.008,10.2,38.8,True
6.69,0.81,13.6,14.1,0.023,39.8,56.9,True
7.23,0.62,14.9,21.8,0.011,29.4,47.5,True
