Azot,Fosfor,Potasyum,pH,OrganikMadde,Tuzluluk,ToprakTuru,UrunTipi,Yagis_Miktar_mm,Sicaklik_Ort,SulamaYapildiMi,Gubreleme_TamMi,Gecmis_Verim_kg
74.4,39.1,245.7,7.56,2.82,0.56,AgirKilli,SekerPancari,533.3,14.1,1,1,5280
54.1,37.1,230.8,7.22,2.43,0.38,Tinli,Pamuk,559.7,18.6,0,1,409
54.1,25.9,273.7,7.3,2.55,0.35,KilliTinli,Elma,767.0,12.8,1,1,3407
104.7,40.8,285.3,6.1,2.95,0.24,KumluTinli,Tere,379.8,18.5,1,1,2086
56.1,49.8,311.2,7.28,2.81,0.71,AgirKilli,Aspir,427.9,16.1,1,1,4968
71.6,27.6,189.7,7.11,2.81,0.15,KumluTinli,Kusburnu,589.4,19.7,1,1,3309
52.5,44.5,255.2,6.98,2.09,0.8,AgirKilli,Aspir,585.8,16.4,1,1,4786
67.2,24.7,254.3,6.66,2.65,0.35,Tinli,Papatya,890.3,18.4,1,1,3295
75.6,31.3,285.9,5.95,2.21,0.4,KilliTinli,Kimyon,772.1,12.3,0,1,2998
52.9,23.1,236.9,7.29,2.23,0.25,KilliTinli,Findik,708.3,16.9,0,0,2720
87.5,26.1,219.8,7.98,2.2,0.64,Tinli,Kenevir,689.5,17.9,1,1,5221
98.0,36.1,344.4,6.01,2.9,0.48,KumluTinli,Tere,419.6,24.1,1,1,1968
53.1,26.5,240.1,7.4,3.18,0.62,Tinli,YerFistigi,647.5,18.2,1,1,5270
50.4,30.7,284.7,7.38,3.68,0.16,Tinli,Uzum,674.1,19.5,1,1,3777
52.6,39.3,190.4,6.19,2.47,0.32,KilliTinli,Cay,885.4,16.5,1,0,3008
77.8,41.2,260.3,5.83,2.92,0.22,Tinli,Rezene,799.7,14.3,1,1,3544
57.6,24.9,202.4,5.69,2.19,0.21,Tinli,Incir,731.0,17.1,1,1,3104
89.9,49.5,278.7,7.19,2.19,0.61,Tinli,Pamuk,558.2,19.8,1,0,351
51.2,43.5,212.8,7.1,2.47,0.2,Tinli,SekerPancari,452.5,20.8,1,1,5454
56.9,20.7,295.9,5.54,2.25,0.31,KumluTinli,YemSalgamı,864.3,18.0,1,0,2794
63.3,44.9,282.7,5.57,3.04,0.12,Tinli,Kayisi,739.6,12.9,0,1,3637
72.7,45.9,306.1,6.09,2.59,0.16,MilliTinli,Sarımsak,492.9,20.7,1,1,1950
46.6,29.7,267.6,7.36,3.76,0.3,Tinli,Salep,743.2,14.5,1,1,3620
96.2,38.6,366.3,7.05,2.63,0.31,MilliTinli,Havuc,252.9,21.4,1,1,1866
85.6,40.0,330.4,6.63,2.59,0.4,TinliKumlu,Marul,288.6,18.2,1,1,1950
75.7,61.7,324.4,7.15,4.15,0.49,KumluTinli,TazeSogan,401.7,19.2,1,0,1918
70.1,46.9,245.5,6.74,3.45,0.32,TinliKumlu,Domates,283.1,22.7,1,1,5769
62.9,43.9,204.1,7.03,2.22,0.36,Tinli,Erik,756.1,14.4,0,1,3442
80.8,41.5,291.9,7.7,3.27,0.57,Tinli,Pamuk,546.3,14.6,1,1,384
64.3,41.2,214.8,7.52,3.33,0.5,Killi,Pamuk,536.2,20.6,1,1,394
44.1,29.0,212.4,6.13,3.69,0.19,KumluTinli,Ceviz,856.7,15.5,1,1,3656
40.1,41.5,202.3,7.04,3.1,0.22,KumluTinli,Kusburnu,584.8,17.3,1,1,3491
76.5,62.2,277.3,6.88,3.95,0.45,MilliTinli,Biber,379.8,23.4,1,1,2137
77.5,35.1,236.8,6.92,2.12,0.3,KumluTinli,Kekik,896.1,13.9,1,1,3348
52.1,39.0,222.5,6.33,3.9,0.39,KumluTinli,Kivi,609.9,18.5,1,1,3530
70.9,49.4,290.9,7.95,2.24,0.49,Tinli,Soya,469.6,17.7,1,1,5197
82.2,43.3,327.1,6.07,4.48,0.25,KumluTinli,Roka,339.6,23.3,1,1,2226
89.7,36.0,329.0,6.35,3.23,0.22,TinliKumlu,Kereviz,376.7,21.3,1,1,2158
81.1,44.1,285.5,7.02,3.93,0.43,MilliTinli,Kereviz,281.3,20.7,1,1,2210
106.0,55.8,342.1,6.55,4.22,0.21,TinliKumlu,Havuc,263.0,19.1,1,1,2281
78.6,48.8,227.2,7.95,3.32,0.69,Tinli,Pamuk,492.9,16.3,1,1,411
79.3,27.9,293.7,7.74,3.18,0.56,AgirKilli,Pamuk,497.6,21.5,1,0,339
40.6,44.1,210.1,6.03,3.35,0.31,KumluTinli,Kestane,625.2,14.2,1,1,3299
70.5,36.0,319.6,7.78,2.34,0.53,AgirKilli,SekerPancari,472.6,19.7,0,1,4788
72.0,28.3,283.8,5.91,3.83,0.36,KumluTinli,Anason,815.0,15.6,1,1,3523
44.4,27.2,217.2,6.87,2.5,0.25,KilliTinli,Erik,602.0,17.9,0,1,3454
71.6,27.4,245.0,6.56,2.69,0.22,KumluTinli,Kestane,852.7,13.0,1,1,3268
65.7,57.9,335.0,6.61,4.05,0.48,KumluTinli,Patlican,254.5,24.3,1,0,1963
73.9,33.6,297.8,6.99,2.9,0.25,KumluTinli,Cay,673.4,20.0,1,1,3186
93.1,45.4,294.7,6.46,2.82,0.2,TinliKumlu,Kavun,399.3,23.2,1,1,5400
73.9,54.6,355.3,6.56,1.56,0.41,TinliKumlu,Karpuz,444.5,24.1,1,1,4889
79.9,26.0,184.8,7.22,2.82,0.14,KilliTinli,Greyfurt,644.2,18.3,1,1,3173
72.2,37.9,251.2,6.8,2.11,0.24,KumluTinli,Incir,645.0,18.9,0,1,3452
63.3,34.8,222.6,7.34,2.1,0.11,KumluTinli,Kestane,533.8,16.9,1,1,3434
44.0,24.2,197.7,6.04,3.95,0.33,KilliTinli,Incir,819.3,14.6,0,1,3509
51.3,29.1,202.9,6.93,2.69,0.26,Tinli,Cay,844.9,14.5,1,1,3287
66.6,60.6,263.1,6.34,4.21,0.3,MilliTinli,Ispanak,456.4,20.3,1,1,2076
77.9,43.6,253.2,5.97,3.85,0.34,Tinli,Portakal,687.2,15.7,1,1,3609
76.9,37.4,253.3,5.88,2.4,0.12,KilliTinli,Cay,550.2,18.2,0,1,3273
77.3,48.1,351.2,6.65,3.06,0.16,TinliKumlu,Ispanak,462.4,18.7,1,1,2054
76.4,27.8,262.9,7.29,2.54,0.16,KumluTinli,Incir,876.1,16.8,1,1,3429
63.8,38.5,183.9,5.63,3.32,0.26,KilliTinli,Nane,569.0,16.5,0,1,3356
82.3,45.6,246.2,7.26,2.69,0.38,Tinli,Tütün,405.0,19.4,0,1,5167
66.3,21.8,227.4,6.85,2.36,0.15,KumluTinli,AdaCayi,562.5,13.8,1,1,3528
70.6,32.7,268.8,7.38,2.49,0.22,Tinli,SekerPancari,648.5,19.7,1,1,5572
72.2,21.3,199.2,6.18,2.67,0.12,KilliTinli,Portakal,509.5,18.7,1,1,3580
49.0,25.7,278.1,7.11,3.86,0.13,KumluTinli,Armut,635.0,19.0,0,1,3585
85.0,44.8,216.9,7.58,2.82,0.26,AgirKilli,YerFistigi,446.9,19.9,1,1,5768
79.7,27.4,205.2,7.28,3.53,0.18,KilliTinli,Yonca,550.4,19.8,1,1,3583
72.3,41.1,237.9,6.75,3.55,0.3,KumluTinli,Anason,618.4,17.3,1,0,3163
41.7,37.1,288.3,6.38,3.67,0.14,KumluTinli,Kusburnu,553.8,12.8,1,1,3526
61.3,41.8,299.5,6.39,3.17,0.34,KumluTinli,Kivi,690.6,14.5,1,1,3536
83.7,37.0,246.7,7.17,3.09,0.47,MilliTinli,Havuc,374.5,23.5,1,1,2137
77.3,59.5,305.3,6.7,1.58,0.17,TinliKumlu,Karpuz,414.5,26.0,1,1,5308
63.1,28.6,276.4,7.24,3.08,0.12,KilliTinli,Incir,737.1,13.2,0,1,3397
72.4,43.8,182.6,6.46,3.97,0.13,KilliTinli,Elma,590.7,16.5,1,1,3446
74.2,44.1,262.8,6.87,2.34,0.6,Tinli,Kenevir,587.6,14.1,1,1,5026
48.9,30.1,214.4,7.78,1.38,0.35,Killi,Burçak,471.1,13.8,0,1,313
79.7,26.0,284.9,7.06,3.66,0.17,Tinli,Muz,752.3,17.9,1,0,3088
68.0,34.7,292.6,6.96,2.7,0.17,Tinli,Ceviz,688.7,16.4,1,1,3303
72.0,35.2,262.6,7.55,3.34,0.32,AgirKilli,YerFistigi,548.4,15.0,1,1,5629
61.0,39.6,364.1,7.12,3.42,0.33,MilliTinli,Patlican,471.5,24.5,1,0,1765
55.2,41.8,287.5,7.27,2.86,0.32,Killi,Susam,510.1,15.2,1,1,5014
53.4,28.7,186.5,7.4,1.75,0.88,Killi,Cavdar,360.9,11.2,0,1,282
90.2,48.8,356.0,6.61,4.16,0.38,MilliTinli,TazeSogan,350.6,21.8,1,1,2107
80.8,36.9,295.5,6.15,3.45,0.28,KumluTinli,Prasa,398.8,21.3,1,1,2140
68.2,27.7,209.1,5.96,2.15,0.32,Tinli,Badem,787.5,12.9,0,1,3083
49.4,40.5,220.5,6.31,3.66,0.1,Tinli,Erik,880.6,13.1,1,1,3442
50.8,18.4,228.3,6.82,1.21,0.76,Tinli,Bugday,509.1,12.0,0,1,292
60.1,40.7,241.0,6.91,3.24,0.24,Tinli,Cay,637.0,17.0,0,1,3650
40.5,23.3,175.9,6.99,1.65,0.37,Killi,Arpa,379.0,10.2,1,1,651
63.3,34.5,186.5,6.5,2.63,0.25,Tinli,Korunga,849.1,12.7,1,1,3492
80.0,38.6,224.5,7.02,2.44,0.65,AgirKilli,Susam,514.1,14.8,1,1,4976
83.7,40.4,239.1,6.93,2.29,0.53,Tinli,Kenevir,502.0,21.0,0,1,5068
46.2,29.2,231.9,6.73,1.84,0.41,Tinli,Celtik,480.3,10.7,0,1,309
59.4,22.1,296.7,6.98,3.04,0.28,KumluTinli,Uzum,683.0,15.8,1,1,3294
60.7,27.1,242.1,6.63,3.7,0.31,KumluTinli,Portakal,692.8,18.1,0,1,3742
52.6,41.1,237.2,6.04,3.34,0.22,KilliTinli,Salep,620.4,13.5,1,1,3263
77.5,26.9,219.9,6.23,3.4,0.33,KilliTinli,Portakal,581.9,18.4,1,0,3013
93.7,35.5,287.5,6.69,4.09,0.13,TinliKumlu,Roka,352.7,22.0,1,0,1934
61.6,36.7,302.9,7.42,2.46,0.32,Killi,Aycicegi,554.0,19.7,1,1,5168
61.4,31.9,226.7,6.37,3.77,0.37,KumluTinli,Findik,695.0,19.6,0,1,3731
53.7,29.0,315.3,7.94,2.81,0.21,Tinli,YerFistigi,560.2,19.5,1,1,5215
70.0,25.9,197.2,5.88,2.37,0.15,KumluTinli,Badem,678.2,19.7,1,1,3481
26.4,34.0,216.9,7.47,1.21,0.99,MilliTinli,Bugday,402.8,11.8,0,1,295
40.3,32.7,196.7,6.94,3.73,0.36,KilliTinli,Nane,820.1,13.9,0,1,3668
40.1,26.5,242.2,6.64,3.44,0.15,KumluTinli,OglanOtu,752.7,16.1,0,1,3368
45.3,37.3,275.4,6.59,2.33,0.13,KilliTinli,Ceviz,695.4,16.2,1,1,3135
73.5,44.4,297.1,6.95,2.13,0.35,KumluTinli,Safran,851.7,16.1,1,1,3254
73.9,46.7,306.9,6.85,2.67,0.48,AgirKilli,Aycicegi,660.8,19.9,1,1,5156
76.3,45.5,323.5,6.98,3.05,0.11,TinliKumlu,Prasa,315.1,24.7,1,1,2011
30.3,19.7,199.5,7.43,2.21,0.49,MilliTinli,Misir,530.3,13.9,0,1,337
47.5,27.6,191.2,6.1,2.29,0.13,KumluTinli,Salep,705.3,12.9,1,1,3320
48.4,33.2,190.6,6.64,1.89,0.69,MilliTinli,Arpa,319.6,12.3,0,1,296
50.6,36.6,295.9,5.92,3.83,0.25,Tinli,Cay,554.3,19.8,1,1,3464
52.0,20.9,256.2,6.66,3.72,0.2,KumluTinli,AdaCayi,856.4,18.5,1,1,3631
79.3,29.6,201.3,6.04,2.7,0.23,Tinli,SiloMisiri,832.0,15.3,0,1,3351
77.2,31.5,201.8,5.8,2.6,0.12,KumluTinli,Biberiye,841.3,19.5,1,1,3534
54.6,22.6,264.3,7.35,2.6,0.18,KumluTinli,Elma,772.1,18.6,0,1,3407
80.0,64.5,315.1,6.33,3.51,0.2,KumluTinli,Marul,253.6,18.4,1,1,2178
66.7,46.3,302.7,6.91,2.15,0.25,Tinli,Aycicegi,534.3,14.8,0,1,5328
73.9,40.8,228.4,6.48,2.67,0.25,Tinli,Korunga,867.1,19.3,1,1,3474
63.3,31.6,278.2,7.33,3.37,0.16,KilliTinli,AdaCayi,789.1,14.6,1,1,3304
47.8,27.8,254.5,7.26,3.28,0.31,KumluTinli,Papatya,755.0,18.4,1,1,3589
52.1,40.6,206.5,6.97,3.25,0.51,Killi,Keten,403.0,21.1,1,1,5437
53.5,30.1,186.1,6.02,2.99,0.14,KilliTinli,Elma,872.7,12.8,0,1,3574
43.2,18.3,223.8,7.48,1.99,0.38,MilliTinli,Fasulye,523.0,11.1,0,1,325
67.1,38.1,315.0,6.53,2.67,0.22,TinliKumlu,Marul,347.4,25.6,1,1,1894
64.4,27.0,223.2,7.45,3.43,0.45,Killi,Pamuk,415.8,14.3,1,1,428
73.9,42.7,245.0,5.92,3.26,0.18,KilliTinli,Muz,752.8,16.0,0,1,3534
82.0,60.7,335.8,6.4,4.26,0.18,KumluTinli,Hiyar,415.1,22.2,1,0,5076
62.1,22.9,195.1,6.62,3.06,0.18,KilliTinli,AdaCayi,762.7,13.6,0,1,3339
68.6,43.1,242.1,7.44,2.23,0.26,Tinli,AdaCayi,791.0,17.0,1,1,3151
103.7,35.9,252.7,6.25,4.21,0.35,TinliKumlu,Havuc,431.8,25.8,1,1,2081
38.3,21.7,201.7,6.69,1.84,0.31,Killi,Cavdar,306.5,11.1,0,0,282
68.8,26.2,222.9,7.29,3.19,0.47,Tinli,Kenevir,515.2,20.8,1,1,5750
46.9,40.2,263.1,7.14,3.11,0.31,KilliTinli,Badem,827.1,16.4,1,1,3472
36.6,30.9,184.5,7.55,1.28,1.14,Killi,Bugday,498.2,11.1,1,1,632
25.7,15.1,178.2,6.9,1.65,1.07,Tinli,Arpa,532.5,12.2,1,1,665
70.6,39.7,256.7,5.79,3.71,0.32,KumluTinli,Kestane,771.7,12.6,1,1,3439
52.5,34.7,196.6,5.53,2.85,0.27,KilliTinli,Elma,626.4,17.8,1,1,3402
32.1,33.7,228.8,6.67,1.98,0.73,Killi,Arpa,533.0,13.1,1,1,643
53.1,35.7,213.0,5.54,3.82,0.29,KumluTinli,Uzum,590.5,19.0,1,1,3469
79.2,49.8,365.5,7.12,4.11,0.1,MilliTinli,Kavun,355.4,19.8,1,1,5680
74.5,36.4,241.4,6.94,2.32,0.12,Tinli,Salep,690.1,14.5,1,1,3479
64.5,41.5,256.5,7.81,2.3,0.56,Killi,Aspir,592.8,20.8,1,1,4848
35.5,22.5,202.7,7.5,1.2,0.52,Tinli,Yulaf,362.6,13.2,0,1,287
40.2,15.4,234.6,7.27,1.29,0.92,Tinli,Burçak,498.8,10.5,0,1,288
57.3,32.1,257.8,7.03,2.04,0.3,KilliTinli,Ceviz,613.2,12.3,1,1,3003
54.9,38.4,305.5,7.89,2.62,0.49,Killi,Aspir,483.4,16.6,1,1,4993
61.5,43.4,208.4,7.68,3.3,0.5,Tinli,SekerPancari,613.3,14.4,1,1,5442
70.6,43.3,293.7,5.76,2.74,0.14,KumluTinli,Lavanta,533.1,19.3,0,1,3349
67.1,55.9,263.0,6.44,4.01,0.49,MilliTinli,Prasa,476.4,19.0,1,1,2183
61.2,47.9,362.5,6.77,3.1,0.14,KumluTinli,Ispanak,498.1,23.3,1,0,1935
70.8,26.6,180.6,6.38,3.34,0.39,KumluTinli,Visne,548.0,14.6,1,1,3595
62.1,49.9,316.2,6.4,2.84,0.4,MilliTinli,Hiyar,294.0,23.7,1,1,5461
108.8,43.6,299.3,6.11,3.8,0.11,MilliTinli,Prasa,397.3,22.5,1,1,2018
56.6,31.7,224.1,6.28,2.2,0.19,KilliTinli,Lavanta,855.1,17.6,0,1,3423
83.8,40.3,204.8,8.0,3.35,0.53,Killi,YerFistigi,651.0,19.2,1,1,5742
51.0,34.1,192.4,7.15,1.76,1.17,Tinli,Mercimek,332.4,12.2,1,1,675
101.3,59.9,280.9,6.23,4.25,0.41,MilliTinli,Havuc,437.1,25.7,1,1,2205
60.4,40.1,321.3,6.9,3.93,0.47,KumluTinli,Marul,417.9,21.2,1,0,1879
76.1,29.9,209.4,5.86,2.9,0.2,Tinli,Zeytin,870.5,19.7,0,1,3332
63.7,21.8,197.7,6.14,2.15,0.34,KilliTinli,Seftali,823.2,13.5,0,1,3320
64.8,38.0,248.3,5.84,3.48,0.14,KilliTinli,Safran,737.2,19.5,1,1,3424
43.8,30.6,292.0,5.78,3.08,0.26,KilliTinli,Kestane,500.3,18.5,0,1,3506
66.4,35.6,213.9,6.93,2.76,0.13,KilliTinli,Armut,635.5,15.8,1,1,3512
68.2,41.8,238.2,7.76,2.57,0.79,Killi,Aycicegi,551.9,20.8,1,1,5076
74.8,34.2,232.7,6.27,2.13,0.24,KilliTinli,Ceviz,837.0,13.8,1,0,2925
66.2,29.7,257.7,6.59,2.09,0.12,KilliTinli,Papatya,537.5,16.1,1,1,3467
26.5,15.0,179.6,7.2,1.95,0.41,MilliTinli,Fiğ,460.9,10.4,0,1,322
26.9,27.1,164.6,7.74,2.18,0.78,Killi,Arpa,520.0,14.0,0,1,332
45.5,37.2,289.6,6.82,3.22,0.27,KumluTinli,Kivi,609.3,13.7,1,1,3256
42.4,35.3,225.4,7.14,3.59,0.36,Tinli,Kimyon,539.6,14.2,1,1,3388
53.3,31.2,248.5,6.46,2.87,0.22,KumluTinli,Kestane,527.7,14.6,0,1,3597
78.5,30.7,203.7,7.32,3.25,0.31,KumluTinli,Lavanta,622.1,19.8,1,1,3324
55.0,43.8,182.7,6.79,2.61,0.38,KilliTinli,Greyfurt,646.4,13.9,1,1,3397
74.7,35.1,271.3,7.04,3.18,0.5,TinliKumlu,Biber,301.2,20.7,1,1,1924
51.8,38.3,284.6,6.13,2.39,0.13,KilliTinli,SiloMisiri,636.7,13.3,1,1,3089
103.0,42.6,377.3,6.5,3.73,0.42,MilliTinli,Tere,295.9,24.1,1,0,1926
71.4,22.3,242.5,6.37,3.67,0.35,Tinli,Rezene,757.8,12.2,1,1,3381
68.6,43.6,274.3,7.84,3.2,0.46,Killi,Keten,519.5,16.3,1,1,5185
38.4,30.8,209.5,7.49,1.32,0.44,MilliTinli,Celtik,399.2,13.0,0,1,306
54.3,40.8,282.1,7.19,2.85,0.12,KumluTinli,Kiraz,709.3,14.8,1,1,3327
92.7,47.5,265.2,6.25,3.88,0.33,MilliTinli,Hiyar,310.5,20.2,1,1,6044
59.6,22.8,230.3,6.28,2.63,0.11,Tinli,Erik,536.6,16.1,0,1,3359
56.5,37.2,295.3,7.23,2.99,0.26,Killi,Susam,406.8,17.6,1,1,5083
63.7,39.3,279.4,5.63,2.34,0.37,Tinli,OglanOtu,773.5,18.3,0,0,2755
77.1,21.7,224.0,5.52,2.81,0.1,Tinli,Mandalina,785.7,18.9,0,1,3291
71.7,49.5,297.2,7.87,2.83,0.77,Tinli,Kenevir,582.0,18.8,1,1,5225
52.5,30.5,261.5,6.83,2.82,0.22,Tinli,Aspir,497.7,15.1,1,1,5647
103.2,55.2,270.0,7.09,3.78,0.3,MilliTinli,TazeSogan,416.0,21.4,1,1,2189
70.7,37.6,217.9,6.86,2.16,0.27,Tinli,SekerPancari,612.4,20.0,1,1,4972
74.3,27.7,259.1,5.79,3.13,0.24,Tinli,AntepFistigi,546.8,13.5,0,1,3502
83.0,42.1,327.8,6.38,3.1,0.49,TinliKumlu,Tere,469.6,20.4,1,1,1979
79.8,30.5,253.0,6.38,2.21,0.24,KilliTinli,Ayva,826.8,18.9,1,0,2909
102.4,43.9,323.8,6.21,3.51,0.12,KumluTinli,Maydanoz,268.8,25.5,1,1,2159
54.3,35.5,287.3,7.23,2.16,0.32,Killi,Aspir,593.1,14.7,1,1,5082
42.1,16.3,169.3,7.46,1.86,0.55,Killi,Fasulye,366.3,10.7,1,1,708
54.7,44.0,311.3,6.99,2.69,0.6,AgirKilli,Susam,476.0,14.6,1,1,5055
62.9,43.8,242.0,6.29,3.64,0.26,KumluTinli,Kivi,835.9,20.0,0,1,3576
50.6,31.0,163.3,7.31,1.62,0.33,Tinli,Yulaf,422.0,12.8,0,1,330
79.6,63.9,298.2,7.07,3.7,0.38,KumluTinli,Havuc,311.2,24.0,1,1,2159
77.3,28.3,206.3,5.72,2.99,0.18,KilliTinli,Anason,568.9,14.2,0,1,3224
60.2,30.3,285.2,5.81,2.25,0.36,KumluTinli,Nar,873.1,12.6,1,1,3434
65.0,49.9,336.6,6.02,3.17,0.38,TinliKumlu,Turp,378.4,19.1,1,1,2058
51.6,33.5,182.8,6.17,2.16,0.23,KumluTinli,Cilek,830.1,18.5,1,1,3308
59.7,39.6,293.7,6.7,2.71,0.17,KilliTinli,Nar,853.9,16.9,1,1,3235
43.1,39.7,280.3,5.9,2.33,0.36,Tinli,Muz,575.4,12.9,1,1,3388
55.1,20.2,181.1,6.95,2.92,0.25,KilliTinli,Cay,774.8,14.4,1,1,3270
54.2,36.5,299.9,7.35,2.53,0.27,KumluTinli,Korunga,559.5,15.7,1,1,3086
79.0,28.0,220.2,7.18,2.47,0.56,AgirKilli,Aspir,693.7,21.0,1,1,5251
46.4,33.6,243.9,6.08,2.15,0.31,Tinli,Badem,587.5,13.9,1,1,3223
44.6,43.7,268.0,7.41,3.27,0.29,Tinli,MeyanKoku,757.0,14.2,1,1,3496
56.3,28.9,274.9,5.86,3.02,0.14,KumluTinli,Limon,658.8,14.1,1,1,3212
84.9,26.2,246.3,7.51,2.24,0.62,Tinli,YerFistigi,488.5,21.3,1,1,5284
56.5,34.5,227.1,5.61,3.16,0.25,KilliTinli,Kusburnu,655.2,13.3,1,1,3446
76.5,32.6,295.9,6.84,3.88,0.36,Tinli,Nar,556.4,13.7,1,1,3321
58.3,32.9,279.8,6.35,3.32,0.2,KumluTinli,Kimyon,622.7,12.3,1,1,3618
41.7,30.8,186.3,7.31,2.19,0.3,Tinli,Yonca,584.5,16.0,0,1,3132
51.0,36.2,266.6,6.5,3.73,0.24,KilliTinli,Kekik,697.6,18.3,1,1,3514
72.4,33.3,218.6,6.89,3.27,0.51,AgirKilli,Keten,599.7,21.8,1,1,5280
78.8,34.3,206.4,7.09,3.72,0.32,Tinli,OglanOtu,649.2,13.2,1,1,3291
104.9,63.6,294.1,7.18,4.07,0.35,TinliKumlu,Marul,456.0,23.4,1,1,2037
42.7,44.4,294.8,5.77,2.12,0.23,KumluTinli,Visne,694.1,18.6,1,1,3426
75.4,38.2,291.3,7.02,2.67,0.25,KilliTinli,Lavanta,666.7,16.5,1,1,3549
40.0,38.9,298.2,5.96,3.62,0.24,Tinli,Visne,686.3,16.1,0,1,3744
61.6,53.4,340.3,6.6,3.33,0.4,KumluTinli,Domates,412.6,20.5,1,1,5441
94.2,54.3,242.1,7.19,4.22,0.16,MilliTinli,Hiyar,461.7,22.8,1,1,5990
55.2,36.4,297.3,7.32,3.24,0.45,Killi,Aycicegi,674.6,15.0,1,1,5473
69.7,44.6,260.1,6.42,2.49,0.31,KilliTinli,Kayisi,568.8,14.4,1,1,3140
92.4,48.6,375.6,6.71,2.67,0.24,KumluTinli,TazeSogan,254.2,20.9,1,1,2012
36.5,23.6,238.3,7.09,1.3,1.13,Killi,Burçak,446.1,10.2,1,1,649
76.3,27.7,297.2,5.97,2.56,0.39,Tinli,Uzum,655.7,19.5,1,1,3255
