pH,Azot,Fosfor,Potasyum,OrganikMadde,Tuzluluk,ToprakTuru,UrunTipi
8.07,24.4,16.8,207.8,1.23,0.76,402,6002
6.98,27.6,26.1,227.6,2.08,0.46,202,1010
6.75,70.0,23.8,235.0,2.7,0.13,201,4008
6.91,67.7,49.6,300.2,2.1,0.5,204,3005
6.27,93.5,49.0,348.3,2.75,0.35,204,3017
6.94,39.0,30.5,233.2,1.41,1.13,202,1009
7.11,79.4,37.0,242.7,4.15,0.31,201,3017
7.58,57.7,32.4,274.4,2.9,0.5,301,2005
6.81,23.5,11.6,155.4,1.11,0.47,202,8003
7.65,60.9,33.5,253.9,3.37,0.31,301,2004
6.07,60.3,41.4,332.9,3.32,0.26,102,3004
6.94,37.9,31.6,169.6,2.01,0.78,301,1003
8.17,23.6,24.7,172.7,1.92,0.86,101,7004
6.1,42.8,31.7,218.1,3.63,0.34,202,6003
7.74,22.4,28.8,185.5,1.98,0.41,402,7011
6.83,42.3,22.2,225.9,2.1,0.73,202,1001
7.18,48.8,29.5,277.0,3.65,0.22,202,4004
6.45,56.3,24.0,258.8,3.94,0.27,201,4006
7.46,66.1,45.8,297.8,2.92,0.42,202,2008
7.72,15.7,28.1,132.5,1.06,0.61,101,7002
4.79,43.7,27.9,185.2,3.56,0.22,201,4016
6.52,72.5,51.4,278.4,4.3,0.19,102,3009
6.81,100.3,63.4,296.0,4.07,0.21,102,3009
7.81,20.6,16.1,163.7,1.3,0.33,402,7008
6.79,90.1,39.9,272.7,2.55,0.43,201,3002
7.49,65.7,25.7,270.0,2.02,0.67,202,2004
7.35,37.6,17.5,164.0,0.86,0.54,101,7013
7.24,43.3,25.3,270.3,2.1,0.25,202,4006
5.81,46.0,26.7,223.3,2.82,0.3,202,4014
7.29,51.9,25.7,229.4,2.48,0.3,202,4011
7.35,17.0,29.9,132.5,1.99,0.98,101,7002
7.06,34.9,26.3,228.0,1.42,1.14,204,1010
6.65,66.0,22.1,210.1,3.77,0.3,202,6004
6.81,50.1,34.5,217.2,2.03,0.48,301,2004
7.2,17.8,29.9,134.7,1.51,0.53,202,8004
6.6,47.0,27.4,259.7,3.93,0.12,202,4010
6.31,45.7,37.9,215.2,3.05,0.31,202,5001
7.86,30.8,21.9,121.3,1.67,0.46,402,7003
6.63,37.1,29.6,222.4,1.33,0.3,204,1005
7.17,27.6,26.0,190.4,1.87,0.65,202,1005
7.25,79.8,34.6,277.5,2.65,0.19,202,4013
7.74,21.4,26.1,154.1,1.99,0.27,402,7010
8.25,17.7,19.6,166.8,1.45,0.27,402,7006
6.04,56.0,35.0,258.4,2.31,0.39,203,4002
6.97,52.3,15.4,185.3,1.26,0.99,301,1012
5.74,63.4,44.2,225.3,2.12,0.2,201,4004
5.5,64.6,35.4,234.9,2.79,0.24,202,4010
6.09,46.5,36.9,184.6,3.24,0.31,202,4011
6.63,76.3,29.9,215.6,2.29,0.15,203,4002
7.37,75.2,45.7,294.0,2.42,0.76,306,2010
7.5,87.4,41.8,257.8,3.21,0.77,202,2006
5.61,64.0,42.6,226.0,2.43,0.23,203,4003
7.11,38.4,15.3,179.8,2.15,0.45,204,1006
7.71,24.3,22.5,121.0,0.97,0.79,402,7008
6.97,15.2,10.5,164.3,1.42,1.0,202,8004
5.59,77.8,41.1,215.6,2.15,0.15,202,4003
6.17,79.1,51.6,250.7,2.51,0.37,102,3002
8.26,28.7,29.3,129.2,1.39,0.34,101,7001
7.06,79.7,26.0,284.9,3.66,0.17,202,4014
6.66,73.3,40.1,284.0,2.12,0.31,201,5003
5.77,46.3,43.7,285.6,3.81,0.4,202,4004
7.21,26.8,21.1,165.6,1.05,0.79,101,7013
7.68,74.4,37.2,216.0,2.39,0.45,306,2009
7.76,38.5,13.5,157.7,0.91,0.7,402,7009
7.52,82.4,35.7,290.0,3.37,0.54,202,2004
7.8,17.0,11.8,133.7,1.42,0.37,101,7004
6.52,18.8,27.7,156.7,1.48,0.73,202,8001
6.68,25.0,33.1,162.0,1.43,0.67,202,1009
7.26,65.0,47.2,218.2,2.23,0.4,202,2011
6.71,22.8,22.7,151.9,0.81,0.62,202,8002
7.46,24.4,16.8,125.0,1.38,0.29,202,8003
6.33,105.6,37.9,359.5,3.16,0.12,204,3011
7.58,17.1,23.7,138.8,1.93,0.9,101,7012
6.72,26.6,29.3,198.0,2.13,0.65,202,1003
7.16,73.2,37.7,192.6,3.68,0.3,202,4007
8.25,32.0,22.6,141.6,1.1,0.95,402,7013
7.46,23.6,20.4,155.3,1.86,0.6,402,7013
6.92,34.6,13.9,185.6,1.58,0.54,202,8004
7.34,15.0,17.5,165.7,1.37,0.89,101,7003
7.67,59.3,42.6,236.9,2.36,0.24,202,2006
6.75,43.2,31.3,268.7,3.37,0.34,202,4015
7.48,32.5,25.8,239.4,2.14,0.39,202,1007
7.4,21.0,14.7,125.5,1.02,0.64,402,7006
6.95,49.4,33.5,267.5,3.67,0.32,201,6004
7.1,38.9,14.9,188.8,1.0,0.88,101,7004
6.07,51.6,29.4,227.2,3.09,0.15,203,4012
5.67,55.1,30.3,184.8,2.55,0.39,203,5001
8.28,24.5,25.5,147.4,1.55,0.35,101,7014
6.13,65.4,28.9,197.8,3.19,0.34,201,5004
6.82,54.2,27.6,241.4,2.86,0.16,202,6001
5.98,55.5,22.0,197.7,2.6,0.13,202,4007
6.86,72.0,48.3,279.5,2.66,0.45,204,3017
7.0,29.6,21.6,124.4,1.18,0.6,202,8002
5.88,76.7,33.8,215.9,2.86,0.19,203,4012
6.85,79.8,36.1,202.4,2.09,0.43,306,2004
6.9,84.1,41.5,375.4,3.93,0.48,204,3010
6.61,81.4,36.6,243.1,3.22,0.23,201,3003
7.75,23.5,23.0,125.5,1.88,0.3,101,7012
5.68,71.1,41.2,201.8,2.86,0.15,203,4012
7.03,93.3,48.1,373.4,3.94,0.47,102,3015
6.73,46.2,29.2,231.9,1.84,0.41,202,1004
6.68,46.8,31.3,180.6,2.05,0.65,202,1011
7.44,50.1,32.2,185.3,2.14,0.34,301,1001
6.58,81.5,37.2,254.9,4.17,0.2,102,3016
6.05,81.9,60.3,276.7,3.34,0.12,102,3008
7.49,74.7,34.1,242.0,2.57,0.26,201,4011
6.72,41.4,18.3,165.1,1.55,0.5,204,1008
7.71,42.3,17.5,206.5,2.04,0.67,202,1007
6.81,75.0,40.5,345.9,1.97,0.19,204,3005
7.17,20.1,25.4,154.0,1.48,0.22,402,7011
7.0,66.7,63.1,345.2,2.44,0.37,204,3005
5.91,71.9,38.5,187.7,2.77,0.18,201,4010
7.69,71.7,41.3,232.9,2.89,0.49,202,2006
7.28,52.3,39.6,306.1,2.23,0.56,301,2005
6.9,75.5,50.4,360.0,3.43,0.24,201,3008
5.72,41.2,38.2,284.9,2.44,0.15,203,4008
7.17,22.4,25.6,157.7,1.07,0.33,101,7012
7.42,54.5,16.0,167.7,1.99,0.55,202,1010
7.74,50.4,44.0,307.2,2.65,0.52,301,2007
7.46,85.6,31.6,256.7,2.49,0.77,202,2008
5.65,44.6,41.7,236.7,3.43,0.22,202,4014
7.38,71.5,20.6,244.1,3.38,0.32,202,4001
7.08,36.1,11.2,141.7,0.92,0.44,101,7003
7.52,39.5,30.9,206.1,1.58,1.03,202,1009
6.69,103.2,39.2,319.7,4.24,0.33,204,3009
8.26,39.0,15.0,147.8,1.87,0.97,402,7006
7.5,23.8,16.3,159.3,1.18,0.35,101,7013
6.86,90.4,37.7,334.8,2.63,0.34,204,3018
6.67,53.6,16.5,175.9,1.58,0.86,301,1003
6.64,36.7,27.4,153.5,1.33,0.44,202,8003
7.39,34.4,16.2,216.1,1.21,0.67,204,1006
6.06,65.2,52.1,314.4,3.42,0.26,204,3016
6.59,68.6,31.1,183.2,2.9,0.19,201,4015
6.93,81.0,45.2,292.1,2.17,0.59,306,2011
6.52,74.6,51.4,258.7,3.88,0.42,201,3014
5.76,69.7,36.1,217.9,3.24,0.17,203,4012
7.68,61.0,41.0,240.9,3.5,0.36,306,2007
6.99,92.3,54.4,258.0,3.8,0.49,201,3013
7.05,39.1,33.6,211.3,1.54,0.77,202,1009
6.38,66.3,54.7,245.6,3.7,0.45,102,3003
7.38,54.1,31.2,260.6,2.67,0.18,201,4005
6.9,96.4,61.1,266.5,3.3,0.48,201,3003
7.03,33.4,22.5,166.5,1.69,0.74,402,7011
5.87,44.2,40.3,249.5,3.24,0.33,201,4001
7.43,30.3,19.7,199.5,2.21,0.49,204,1003
7.62,73.7,43.9,237.1,2.67,0.44,301,2003
7.29,44.1,36.4,288.8,2.34,0.39,201,4008
7.55,34.9,12.8,130.4,1.57,0.36,402,7014
6.76,50.6,21.0,234.7,3.78,0.27,202,4003
5.99,71.9,22.7,273.7,3.82,0.21,202,5001
5.98,65.0,31.9,285.1,2.54,0.1,201,4004
8.22,39.5,27.4,133.9,0.86,0.66,101,7014
6.1,98.5,53.9,378.4,3.19,0.12,201,3014
6.42,69.6,36.4,222.5,2.31,0.12,201,6001
5.63,64.4,44.6,223.3,3.51,0.25,203,5001
7.28,72.5,37.9,209.9,3.82,0.15,201,5001
7.66,76.6,33.6,202.3,3.03,0.77,301,2008
7.78,73.5,30.3,228.4,2.94,0.7,301,2004
6.43,109.8,49.4,308.0,3.63,0.47,204,3003
6.25,54.6,38.7,251.0,3.64,0.24,201,6001
6.71,37.2,33.5,216.8,1.66,0.77,204,1009
7.32,32.9,25.5,173.9,1.54,0.91,402,7001
6.29,74.1,47.3,272.8,2.54,0.45,102,3006
6.04,66.1,54.0,365.9,3.75,0.15,201,3002
6.41,70.8,59.4,270.4,3.58,0.49,201,3017
7.18,86.8,50.1,276.1,3.9,0.11,204,3014
6.8,66.3,58.0,269.4,3.15,0.43,201,3015
7.12,51.3,28.0,274.7,3.4,0.32,301,2010
7.34,70.6,22.0,233.7,2.2,0.1,201,4005
6.27,56.7,21.1,214.7,2.9,0.14,202,4008
7.44,73.4,44.9,240.9,3.21,0.4,306,2002
6.4,65.3,42.2,372.9,3.11,0.17,201,3011
7.96,65.1,31.5,229.2,2.69,0.66,301,2009
6.98,42.1,41.3,203.8,3.75,0.21,201,4004
8.48,30.9,17.7,199.2,1.53,0.79,402,6002
8.34,34.6,16.2,191.2,1.53,0.32,402,6002
7.41,28.4,32.0,202.6,1.72,1.18,202,1004
7.23,33.1,20.1,174.4,1.04,0.8,402,7010
7.59,20.1,21.3,172.0,1.16,0.57,402,7012
7.44,40.2,25.0,168.8,1.63,0.52,301,1002
7.9,18.9,14.9,187.4,1.05,0.26,101,7013
7.52,16.3,19.9,129.9,1.28,0.48,402,7012
6.23,78.3,38.2,327.9,2.74,0.49,204,3017
6.99,64.2,35.5,246.9,3.0,0.33,301,2008
6.56,68.7,45.1,242.5,3.3,0.32,102,3002
7.34,27.5,29.6,127.8,1.16,0.71,202,8002
6.71,74.0,33.5,276.5,3.02,0.12,202,5003
7.93,39.8,24.0,143.5,1.61,0.76,101,7005
6.44,90.1,60.5,364.4,3.47,0.39,201,3017
7.45,64.4,27.0,223.2,3.43,0.45,301,2001
6.75,38.8,20.7,179.8,1.91,0.89,204,1001
6.51,29.5,30.5,195.7,1.69,1.16,301,1012
6.76,85.2,36.8,368.2,3.73,0.18,204,3004
6.73,45.7,27.9,231.4,2.01,0.76,301,1005
6.39,62.5,41.2,233.2,3.84,0.23,203,4001
6.42,102.8,46.9,267.9,3.35,0.25,201,3008
6.73,57.7,34.4,275.3,3.61,0.25,201,6001
7.92,32.8,15.0,172.5,1.04,0.32,101,7014
6.5,52.2,20.8,227.8,2.62,0.31,201,6001
6.02,77.9,38.2,206.4,2.9,0.34,202,5002
6.86,25.1,29.4,129.0,1.12,0.59,202,8002
6.96,64.9,25.6,226.6,3.17,0.32,306,2009
7.18,16.3,25.7,187.6,1.76,0.61,202,8003
6.96,40.7,36.7,229.2,3.55,0.27,202,6005
7.65,16.5,24.3,169.9,1.96,0.65,402,7004
6.52,40.8,25.7,244.3,2.2,0.18,201,6004
6.96,45.9,26.2,190.9,1.66,0.81,202,1004
7.65,53.3,29.8,166.9,1.94,0.67,204,1003
7.32,41.2,39.2,288.2,2.89,0.27,203,4007
5.89,43.5,35.1,186.9,3.35,0.26,202,4002
6.82,50.4,34.9,235.0,3.51,0.26,201,6004
7.08,47.7,30.9,199.6,2.18,0.54,204,1010
6.81,37.5,20.0,185.6,1.35,0.57,301,1002
6.98,55.2,33.6,296.9,2.37,0.24,202,2008
8.12,22.7,23.9,121.3,1.25,0.48,402,7009
6.79,77.8,59.3,281.3,3.64,0.4,102,3003
7.65,26.0,14.4,130.4,0.82,0.32,101,7002
7.08,34.7,10.3,164.0,1.83,0.58,202,8001
6.14,65.9,29.5,279.6,3.29,0.12,201,6005
7.23,39.1,13.5,134.2,1.9,0.57,402,7005
6.73,73.2,43.6,311.6,4.11,0.12,102,3013
6.6,68.2,36.1,268.0,3.08,0.35,201,6004
7.18,53.9,38.2,206.9,2.17,0.33,202,2011
7.07,15.3,25.9,158.2,0.96,0.39,101,7004
6.58,40.5,17.5,237.0,1.52,1.07,204,1002
7.5,73.7,43.0,289.4,2.77,0.4,202,2008
5.54,53.1,35.7,213.0,3.82,0.29,201,4010
8.25,27.6,11.7,169.6,1.21,0.88,402,7007
7.11,53.3,33.6,176.5,1.59,0.43,301,1004
