pH,OrganikMadde,Tuzluluk,ToprakTuru,UrunTipi,Yagis_Miktar_mm,Sicaklik_Ort,SulamaYapildiMi,Gubreleme_TamMi,Gecmis_Verim_kg
6.64,3.12,0.2,102,3010,285.8,19.6,1,1,2080
7.19,2.3,0.17,202,4006,788.0,14.6,1,1,3145
7.45,1.54,0.93,101,7008,351.2,13.7,0,1,181
6.85,3.35,0.39,201,3014,481.4,21.6,1,1,2189
7.81,1.63,0.56,402,6002,245.5,21.6,0,1,155
6.95,1.7,0.43,202,1007,424.6,11.7,1,1,699
8.27,1.44,0.35,402,7005,369.1,10.4,1,1,176
6.26,3.43,0.26,201,4004,676.3,13.6,1,1,3434
8.17,1.81,0.89,101,7008,255.4,11.3,0,1,188
8.15,1.99,0.68,101,7001,416.0,12.4,0,1,173
7.46,1.91,0.93,202,1007,504.4,11.4,0,1,298
7.07,1.35,1.08,204,1009,523.6,13.2,0,0,241
7.8,2.41,0.21,301,2010,558.9,20.5,1,0,4830
7.08,3.83,0.17,201,3004,459.5,21.2,1,1,5503
6.71,2.71,0.32,203,4012,744.2,15.8,1,1,3230
6.99,2.23,0.57,301,2008,432.0,14.6,1,1,4904
6.6,1.31,0.58,204,1003,529.3,10.5,1,1,692
7.33,2.28,1.11,204,1008,473.3,10.2,1,0,586
6.54,2.27,1.15,301,1007,486.3,10.2,0,1,306
5.65,2.13,0.19,202,4004,715.4,14.6,1,1,3214
7.48,3.87,0.12,201,4001,640.3,15.1,1,1,3753
6.4,3.43,0.22,204,3002,324.1,19.9,1,0,1860
6.28,2.52,0.28,203,4008,851.6,15.8,1,1,3185
7.81,2.07,0.43,306,2008,455.9,20.2,1,0,4759
6.02,3.79,0.24,202,5004,589.5,20.7,1,1,3456
7.07,3.81,0.32,102,3006,320.3,20.0,1,0,5420
6.87,2.96,0.28,201,4007,728.5,14.6,1,1,3276
7.23,3.36,0.29,201,5002,575.7,22.4,1,1,3343
6.19,2.51,0.21,204,3016,331.6,22.5,1,1,2083
7.37,1.27,0.34,402,7004,270.5,15.6,0,0,150
7.12,2.29,0.91,204,1010,332.5,13.0,0,0,280
6.19,4.21,0.31,201,3003,423.4,19.8,1,0,2082
6.36,2.8,0.18,203,4015,624.8,13.3,1,1,3490
7.84,3.3,0.67,202,2006,536.1,18.2,0,1,5743
7.76,3.03,0.46,301,2008,467.7,15.3,1,1,5751
6.51,1.52,0.43,202,8001,389.0,15.2,1,0,831
5.78,3.12,0.1,202,4005,707.1,12.4,1,0,2938
6.89,3.9,0.14,203,4005,512.6,15.7,0,1,3729
6.78,2.92,0.29,202,6001,1107.4,11.3,1,1,326
7.38,3.12,0.72,306,2001,597.6,18.0,1,1,424
6.61,1.42,1.06,202,1003,517.1,12.9,1,1,680
6.65,3.29,0.34,102,3001,475.2,21.4,1,1,5611
7.0,3.7,0.35,204,3017,492.8,19.4,1,1,2226
7.42,2.59,0.78,301,2002,657.4,14.1,1,1,4925
6.6,2.11,0.69,204,1010,537.1,11.0,0,1,324
6.39,2.07,0.4,202,4003,712.5,15.7,0,1,3107
5.58,2.01,0.39,201,4010,889.2,14.3,0,1,3017
6.91,2.19,0.3,201,4011,847.3,12.7,1,1,3290
7.62,2.21,0.84,204,1008,464.7,11.6,1,1,729
7.19,2.72,0.36,204,3018,331.8,23.3,1,1,1979
7.49,1.56,0.69,402,7009,389.1,12.3,0,1,170
7.87,1.84,0.62,101,7006,432.8,14.9,0,1,184
7.03,2.04,0.16,203,4002,858.7,12.3,1,1,3233
6.92,2.46,0.68,202,2007,574.3,14.7,1,1,5130
7.39,1.32,0.81,301,1007,529.4,11.7,0,1,273
7.78,2.92,0.45,306,2010,671.8,20.2,1,1,5617
6.8,3.67,0.17,102,3016,467.3,21.8,1,1,2052
6.8,2.29,0.42,202,1011,469.0,11.8,0,1,327
7.31,3.19,0.22,202,4001,590.7,13.4,0,1,3329
7.13,2.69,0.31,301,2009,698.2,19.3,1,1,5380
7.15,3.32,0.27,102,3013,439.0,20.8,1,1,2053
7.46,1.3,0.53,204,1005,516.2,12.4,0,1,288
6.38,3.16,0.25,201,6005,1168.5,13.2,1,1,330
5.73,3.74,0.34,203,4008,621.9,12.3,1,1,3772
7.57,1.74,0.85,301,1010,507.3,11.3,1,1,662
8.25,1.17,0.6,101,7013,305.6,15.1,0,0,152
7.51,1.26,0.93,202,1005,407.6,10.7,0,1,297
7.32,1.39,0.89,301,1004,406.5,10.5,1,1,637
7.01,2.2,0.45,301,2002,477.9,20.1,1,1,4938
7.1,3.1,0.24,203,4012,559.7,12.5,1,1,3489
6.55,4.07,0.23,201,3006,452.2,18.6,1,1,6077
6.46,3.4,0.45,201,3011,434.4,22.1,1,1,1941
6.13,3.42,0.5,102,3001,485.6,24.3,1,1,5165
6.53,2.05,0.86,301,1010,466.8,10.0,0,1,323
7.54,1.84,0.97,301,1010,332.0,11.4,1,1,670
7.13,2.02,0.8,301,2010,644.8,20.9,1,1,4900
7.47,1.55,0.98,202,1008,534.3,10.2,0,1,294
6.97,2.6,0.27,202,4003,537.5,14.3,1,1,3471
7.65,1.92,0.58,202,1005,483.3,12.5,0,1,289
5.57,2.74,0.2,203,5001,836.8,20.4,1,1,3505
6.47,3.74,0.24,201,3003,346.9,21.2,1,1,2055
6.57,1.23,0.59,204,1004,319.3,10.2,0,1,297
6.25,2.74,0.12,203,4007,806.6,14.9,0,1,3241
7.29,2.88,0.31,306,2003,693.9,15.3,1,1,5722
7.38,3.68,0.16,202,4010,674.1,15.7,1,1,3777
6.88,2.77,0.4,201,3001,489.2,18.6,1,0,4995
6.85,1.27,0.74,204,1010,315.7,13.6,0,1,274
8.25,1.3,0.41,402,7009,348.9,15.9,0,1,177
6.95,1.48,1.07,204,1012,436.3,13.9,0,1,294
8.1,1.06,0.28,101,7004,332.4,13.9,0,0,157
6.79,3.03,0.16,202,6003,800.7,12.0,1,1,341
7.0,2.69,0.18,201,5001,699.1,18.5,1,1,3226
7.12,1.17,0.71,402,7008,433.0,13.2,0,1,184
7.67,1.24,0.63,204,1003,378.3,13.2,1,1,635
7.04,1.38,1.09,204,1001,464.0,10.5,1,0,528
7.77,1.32,0.98,202,1005,417.8,13.3,0,1,282
6.94,3.36,0.64,301,2009,624.6,19.2,1,1,5780
6.04,2.51,0.37,204,3012,463.9,19.8,1,1,2023
6.26,3.32,0.4,201,3002,441.5,24.3,1,1,2079
6.42,3.95,0.13,202,4005,516.8,15.0,1,1,3841
6.9,3.12,0.29,202,4001,612.6,15.5,0,1,3302
6.57,2.28,0.37,201,6003,850.6,13.4,1,1,309
6.56,2.54,0.34,202,4014,708.6,12.3,1,1,3487
8.13,1.63,0.27,101,7002,336.9,14.6,0,1,191
7.75,2.35,0.67,202,2008,595.7,21.6,1,1,4778
6.0,2.98,0.29,201,3002,332.8,21.9,1,1,2043
5.52,2.68,0.34,202,4008,587.4,13.6,0,1,3473
7.21,3.05,0.8,306,2009,678.8,15.3,1,1,5080
6.12,2.0,0.29,203,5004,787.0,22.1,0,1,3337
6.44,2.64,0.13,102,3013,437.5,21.3,1,1,2022
7.33,2.24,0.37,201,4010,831.6,16.0,1,1,3185
6.56,2.85,0.12,202,6001,933.3,14.3,1,1,335
8.11,1.5,0.5,402,7001,255.5,12.4,0,1,171
6.35,3.47,0.28,201,6004,869.9,13.1,0,1,353
6.11,2.81,0.11,202,6004,770.3,12.9,0,1,353
7.39,2.56,0.48,301,2003,580.9,20.6,1,1,5142
7.45,3.14,0.7,202,2010,506.9,20.6,1,1,5128
7.23,1.69,0.86,204,1011,351.8,13.1,1,1,680
6.55,2.26,1.12,204,1008,388.4,11.8,0,1,303
7.76,2.03,0.74,204,1012,393.8,11.1,0,1,312
7.29,3.18,0.34,203,4010,580.2,12.4,1,1,3216
6.31,3.97,0.41,204,3015,421.9,23.8,1,1,2098
6.33,3.53,0.19,202,6005,805.4,14.8,0,1,335
7.5,1.87,0.38,202,1008,480.8,11.1,1,0,618
6.01,2.73,0.44,204,3011,262.6,18.6,1,1,1925
6.88,1.84,1.06,202,1008,460.1,13.9,1,1,655
6.45,3.52,0.34,201,6001,1012.4,11.3,1,1,338
6.34,4.0,0.23,102,3008,297.3,24.3,1,1,2160
6.82,1.6,0.54,204,1006,516.6,12.3,1,1,713
5.68,3.27,0.31,201,4010,555.6,13.0,1,1,3664
7.14,1.23,0.97,101,7007,423.2,12.9,0,1,181
7.3,2.99,0.48,301,2001,464.7,19.4,1,1,415
7.17,2.08,0.13,102,3005,341.9,18.5,1,1,4857
7.09,2.56,0.39,204,3014,382.7,22.8,1,0,1753
6.31,2.32,0.21,201,6004,833.6,11.9,0,1,321
6.54,2.6,0.29,203,4014,851.7,14.7,1,1,3185
6.11,2.97,0.32,203,5002,768.7,20.9,1,1,3456
6.09,2.78,0.35,204,3009,328.8,20.2,1,1,1912
7.34,1.36,0.91,402,7009,388.0,14.1,1,1,173
6.64,2.65,0.21,204,3015,440.2,22.4,1,1,2114
6.77,2.07,1.07,301,1008,327.2,12.5,0,1,300
7.51,2.29,0.68,202,2006,506.5,19.6,1,1,5312
6.46,2.21,0.21,202,6004,781.3,13.3,1,1,318
6.51,2.39,0.19,201,6005,747.7,12.7,0,1,342
7.51,1.49,0.49,101,7001,448.5,12.3,0,1,192
6.92,2.05,0.31,301,2008,603.9,15.8,1,1,5010
6.97,2.6,0.66,202,2007,542.9,18.0,1,1,5426
6.76,1.96,0.14,102,3005,459.0,20.7,1,1,5444
6.06,3.53,0.1,202,4012,524.5,13.4,1,1,3525
5.6,3.28,0.22,202,4010,669.1,13.2,1,1,3412
7.11,3.18,0.3,203,4006,665.8,15.0,0,1,3498
7.52,2.15,0.51,306,2005,451.6,21.8,1,1,5301
6.95,2.08,0.29,301,2011,500.7,21.8,1,1,5473
6.31,3.54,0.1,201,6004,781.5,14.1,1,1,365
7.21,1.17,0.59,202,8003,273.7,15.8,1,1,989
7.81,0.89,0.45,402,7002,364.3,15.0,1,0,154
6.11,3.47,0.22,201,4012,598.9,13.4,0,1,3454
6.77,3.34,0.4,201,3010,331.3,25.5,1,1,1950
5.73,2.85,0.2,203,5001,605.7,19.0,1,1,3615
6.69,2.86,0.31,203,4002,749.5,14.6,0,0,3068
6.67,2.35,0.14,202,4007,561.9,15.8,1,1,3404
6.06,3.58,0.48,204,3002,349.8,24.7,1,1,1967
6.52,3.37,0.2,201,3004,378.2,21.5,1,1,5753
6.78,2.56,0.24,204,3017,317.7,20.0,1,0,1797
7.77,1.26,0.59,402,7009,358.9,11.2,0,1,167
7.42,1.24,0.92,202,8001,383.3,14.7,0,1,916
6.64,3.5,0.41,204,3013,255.5,20.4,1,1,2207
7.37,1.91,0.29,402,7013,264.1,11.1,0,1,180
7.01,1.11,0.79,101,7003,415.7,14.7,0,1,170
7.38,3.11,0.25,201,5001,708.6,22.0,1,1,3335
6.49,3.36,0.4,201,3014,429.7,23.9,1,1,1971
7.26,2.24,0.16,203,4001,598.1,12.2,1,1,3334
7.04,1.97,0.45,301,1009,381.9,12.2,0,0,294
6.17,4.29,0.18,201,3016,487.9,24.2,1,1,2332
6.86,4.01,0.29,204,3009,460.8,21.9,1,1,2066
6.4,2.53,0.12,202,6005,933.2,11.3,1,1,314
5.48,2.46,0.38,201,4016,1456.9,12.9,1,1,3373
6.26,4.11,0.41,102,3007,262.2,22.6,1,1,5894
6.51,1.59,0.48,202,8001,328.2,11.0,0,1,1032
6.16,3.16,0.36,201,6001,907.5,13.9,1,1,345
6.27,2.54,0.31,203,4009,754.7,15.0,0,1,3204
6.71,4.06,0.4,204,3004,446.7,24.2,1,1,5707
6.84,2.06,0.6,301,2010,528.7,15.6,1,1,4733
6.82,2.3,0.59,204,1008,500.3,12.7,0,1,339
7.47,1.59,0.39,101,7009,253.4,15.5,1,1,172
7.31,2.29,0.98,204,1003,469.0,10.6,0,1,303
6.63,2.15,0.42,204,3005,398.3,18.4,1,1,5028
7.22,1.58,0.42,402,7009,399.6,14.9,0,1,183
5.84,3.4,0.35,201,4005,774.3,15.6,1,1,3536
6.67,2.06,0.23,201,4013,866.3,14.5,0,1,3313
6.88,2.56,0.46,102,3004,400.8,23.0,1,1,5188
7.56,1.62,0.36,301,1012,357.3,11.9,0,1,322
6.14,3.76,0.19,204,3017,314.1,20.8,1,1,2241
6.84,1.38,0.44,202,8002,362.7,14.8,0,1,989
6.48,3.64,0.12,201,5003,683.4,21.6,1,1,3593
6.68,3.55,0.29,201,3016,373.1,21.9,1,1,2056
7.54,1.78,0.61,402,7002,365.9,12.9,0,1,188
8.07,1.23,0.76,402,6002,237.1,19.7,0,1,138
6.98,2.08,0.46,202,1010,306.3,11.0,0,1,322
6.75,2.7,0.13,201,4008,594.8,15.8,1,1,3149
6.91,2.1,0.5,204,3005,349.5,24.6,1,1,4957
6.27,2.75,0.35,204,3017,387.8,21.5,1,1,1987
6.94,1.41,1.13,202,1009,452.7,10.8,0,1,301
7.11,4.15,0.31,201,3017,320.7,21.3,1,1,2218
7.58,2.9,0.5,301,2005,483.2,16.3,1,0,4807
6.81,1.11,0.47,202,8003,416.9,15.6,0,1,898
7.65,3.37,0.31,301,2004,418.0,21.2,1,1,5253
6.07,3.32,0.26,102,3004,339.2,24.1,1,1,5737
6.94,2.01,0.78,301,1003,470.5,13.8,0,1,303
8.17,1.92,0.86,101,7004,354.6,14.2,0,1,176
6.1,3.63,0.34,202,6003,737.8,12.4,1,1,370
7.74,1.98,0.41,402,7011,406.4,11.4,0,1,182
6.83,2.1,0.73,202,1001,498.5,10.6,0,1,305
7.18,3.65,0.22,202,4004,610.3,12.8,0,1,3601
6.45,3.94,0.27,201,4006,837.9,12.9,0,1,3670
7.46,2.92,0.42,202,2008,688.7,17.6,1,1,5151
7.72,1.06,0.61,101,7002,361.4,11.4,0,1,185
4.79,3.56,0.22,201,4016,1859.6,12.6,1,1,3737
6.52,4.3,0.19,102,3009,389.9,24.6,1,1,2123
6.81,4.07,0.21,102,3009,445.0,26.0,1,1,2089
7.81,1.3,0.33,402,7008,363.1,12.7,1,1,191
6.79,2.55,0.43,201,3002,326.2,20.1,1,1,1886
7.49,2.02,0.67,202,2004,474.4,19.6,1,1,5001
7.35,0.86,0.54,101,7013,282.7,11.3,0,1,167
7.24,2.1,0.25,202,4006,791.0,13.9,1,1,3141
5.81,2.82,0.3,202,4014,830.9,14.3,1,1,3289
7.29,2.48,0.3,202,4011,556.4,14.2,0,0,2749
7.35,1.99,0.98,101,7002,320.4,14.6,0,1,179
7.06,1.42,1.14,204,1010,369.7,10.5,0,1,287
6.65,3.77,0.3,202,6004,1082.7,12.0,1,1,360
6.81,2.03,0.48,301,2004,470.0,19.0,1,1,5132
7.2,1.51,0.53,202,8004,275.3,10.2,0,1,1012
6.6,3.93,0.12,202,4010,730.8,14.3,1,0,3184
6.31,3.05,0.31,202,5001,623.2,22.2,1,1,3208
7.86,1.67,0.46,402,7003,417.5,10.8,0,1,185
6.63,1.33,0.3,204,1005,380.7,12.2,0,0,281
7.17,1.87,0.65,202,1005,397.5,11.9,0,0,267
7.25,2.65,0.19,202,4013,695.6,15.4,1,1,3436
7.74,1.99,0.27,402,7010,287.3,10.2,0,1,184
8.25,1.45,0.27,402,7006,416.5,15.9,0,0,173
6.04,2.31,0.39,203,4002,554.3,15.6,0,1,3360
6.97,1.26,0.99,301,1012,375.8,13.9,1,1,638
5.74,2.12,0.2,201,4004,564.8,14.6,1,1,3423
5.5,2.79,0.24,202,4010,876.2,14.6,1,1,3413
6.09,3.24,0.31,202,4011,516.8,13.5,0,1,3460
6.63,2.29,0.15,203,4002,648.6,14.5,1,1,3157
7.37,2.42,0.76,306,2010,496.9,21.9,1,1,5045
7.5,3.21,0.77,202,2006,502.6,21.0,0,1,5402
5.61,2.43,0.23,203,4003,578.8,13.8,0,1,3173
7.11,2.15,0.45,204,1006,456.4,12.3,0,0,282
7.71,0.97,0.79,402,7008,327.3,10.3,0,1,180
6.97,1.42,1.0,202,8004,290.4,11.5,0,1,984
5.59,2.15,0.15,202,4003,818.6,15.0,1,1,3372
6.17,2.51,0.37,102,3002,332.8,24.1,1,1,2105
8.26,1.39,0.34,101,7001,285.8,14.8,0,1,173
7.06,3.66,0.17,202,4014,752.3,15.0,1,0,3088
6.66,2.12,0.31,201,5003,760.9,20.3,1,1,3343
5.77,3.81,0.4,202,4004,641.8,13.2,1,1,3464
7.21,1.05,0.79,101,7013,300.9,12.8,0,1,171
7.68,2.39,0.45,306,2009,608.2,15.5,1,1,4888
7.76,0.91,0.7,402,7009,322.3,10.8,0,1,163
7.52,3.37,0.54,202,2004,449.4,15.4,1,1,5529
7.8,1.42,0.37,101,7004,252.9,12.2,0,1,178
6.52,1.48,0.73,202,8001,385.8,15.6,1,1,895
6.68,1.43,0.67,202,1009,359.8,13.0,1,1,671
7.26,2.23,0.4,202,2011,439.2,19.4,1,1,5018
6.71,0.81,0.62,202,8002,434.3,14.9,1,1,876
7.46,1.38,0.29,202,8003,299.7,11.9,1,1,1034
6.33,3.16,0.12,204,3011,411.4,22.1,1,1,2191
7.58,1.93,0.9,101,7012,312.6,15.2,0,1,175
6.72,2.13,0.65,202,1003,505.1,12.7,1,1,688
7.16,3.68,0.3,202,4007,868.9,12.6,1,1,3449
8.25,1.1,0.95,402,7013,276.5,15.9,0,1,160
7.46,1.86,0.6,402,7013,333.2,10.4,0,1,186
6.92,1.58,0.54,202,8004,341.6,11.5,1,1,1046
7.34,1.37,0.89,101,7003,250.0,15.5,1,1,165
7.67,2.36,0.24,202,2006,586.4,19.7,1,0,4367
6.75,3.37,0.34,202,4015,844.6,15.5,0,1,3455
7.48,2.14,0.39,202,1007,433.7,13.4,0,1,301
7.4,1.02,0.64,402,7006,294.8,12.2,0,1,176
6.95,3.67,0.32,201,6004,1054.4,15.0,0,1,330
7.1,1.0,0.88,101,7004,292.5,10.7,1,1,182
6.07,3.09,0.15,203,4012,780.4,12.8,1,1,3534
5.67,2.55,0.39,203,5001,640.9,18.2,0,1,3409
8.28,1.55,0.35,101,7014,340.1,13.2,1,1,194
6.13,3.19,0.34,201,5004,596.7,20.1,1,1,3440
6.82,2.86,0.16,202,6001,796.6,12.9,0,0,312
5.98,2.6,0.13,202,4007,839.6,13.6,0,1,3395
6.86,2.66,0.45,204,3017,291.6,25.3,1,1,1932
7.0,1.18,0.6,202,8002,293.3,15.2,0,1,963
5.88,2.86,0.19,203,4012,673.5,15.4,1,1,3513
6.85,2.09,0.43,306,2004,539.3,19.0,1,1,5165
6.9,3.93,0.48,204,3010,451.4,20.4,1,1,2177
6.61,3.22,0.23,201,3003,459.8,22.4,1,1,2154
7.75,1.88,0.3,101,7012,418.4,13.7,0,1,182
5.68,2.86,0.15,203,4012,815.6,12.5,0,1,3570
7.03,3.94,0.47,102,3015,314.7,18.4,1,1,2145
6.73,1.84,0.41,202,1004,480.3,10.7,0,1,309
6.68,2.05,0.65,202,1011,464.6,11.8,0,1,312
7.44,2.14,0.34,301,1001,438.2,13.0,0,0,288
6.58,4.17,0.2,102,3016,313.8,24.6,1,1,2166
6.05,3.34,0.12,102,3008,465.2,20.8,1,1,2029
7.49,2.57,0.26,201,4011,752.3,13.8,1,1,3118
6.72,1.55,0.5,204,1008,325.6,13.0,1,1,627
7.71,2.04,0.67,202,1007,434.3,10.8,1,1,702
6.81,1.97,0.19,204,3005,486.1,26.0,1,1,5406
7.17,1.48,0.22,402,7011,251.8,12.3,0,0,167
7.0,2.44,0.37,204,3005,274.8,21.4,1,1,5543
5.91,2.77,0.18,201,4010,893.2,14.6,1,1,3558
7.69,2.89,0.49,202,2006,533.4,19.9,1,0,4507
7.28,2.23,0.56,301,2005,638.7,14.6,1,1,4826
6.9,3.43,0.24,201,3008,449.5,24.9,1,1,2158
5.72,2.44,0.15,203,4008,829.1,13.2,1,1,3379
7.17,1.07,0.33,101,7012,325.2,14.9,0,1,179
7.42,1.99,0.55,202,1010,491.5,10.3,0,0,274
7.74,2.65,0.52,301,2007,475.3,18.1,1,1,4914
7.46,2.49,0.77,202,2008,521.5,22.0,0,1,5044
5.65,3.43,0.22,202,4014,728.3,15.6,0,1,3339
7.38,3.38,0.32,202,4001,898.2,13.2,1,1,3701
7.08,0.92,0.44,101,7003,448.1,13.7,0,1,173
7.52,1.58,1.03,202,1009,346.9,13.0,0,1,307
6.69,4.24,0.33,204,3009,415.0,21.1,1,1,2250
8.26,1.87,0.97,402,7006,427.8,11.0,0,1,170
7.5,1.18,0.35,101,7013,402.8,13.1,1,1,179
6.86,2.63,0.34,204,3018,319.6,21.2,1,1,1936
6.67,1.58,0.86,301,1003,331.4,11.2,0,1,285
6.64,1.33,0.44,202,8003,393.3,12.2,0,1,903
7.39,1.21,0.67,204,1006,516.6,11.8,0,1,311
6.06,3.42,0.26,204,3016,392.1,20.2,1,1,2210
6.59,2.9,0.19,201,4015,572.7,14.0,1,1,3582
6.93,2.17,0.59,306,2011,549.9,20.1,1,1,4766
6.52,3.88,0.42,201,3014,275.8,22.7,1,1,2250
5.76,3.24,0.17,203,4012,554.3,13.0,1,1,3584
7.68,3.5,0.36,306,2007,679.2,14.2,1,1,5946
6.99,3.8,0.49,201,3013,437.9,22.7,1,1,2202
7.05,1.54,0.77,202,1009,384.6,13.7,1,1,640
6.38,3.7,0.45,102,3003,493.2,25.9,1,1,2122
7.38,2.67,0.18,201,4005,828.2,15.0,0,1,3172
6.9,3.3,0.48,201,3003,460.1,18.1,1,0,1785
7.03,1.69,0.74,402,7011,387.9,11.7,0,1,170
5.87,3.24,0.33,201,4001,764.2,15.2,1,1,3405
7.43,2.21,0.49,204,1003,530.3,13.9,0,1,337
7.62,2.67,0.44,301,2003,400.7,21.9,1,0,4519
7.29,2.34,0.39,201,4008,773.6,12.8,1,1,3278
7.55,1.57,0.36,402,7014,359.0,10.5,0,1,178
6.76,3.78,0.27,202,4003,669.9,13.4,0,0,3066
5.99,3.82,0.21,202,5001,672.1,20.2,1,1,3422
5.98,2.54,0.1,201,4004,788.4,13.0,1,0,3118
8.22,0.86,0.66,101,7014,303.9,14.9,1,1,184
6.1,3.19,0.12,201,3014,324.9,18.8,1,1,2042
6.42,2.31,0.12,201,6001,908.1,11.7,0,1,346
5.63,3.51,0.25,203,5001,644.6,20.7,1,1,3659
7.28,3.82,0.15,201,5001,757.5,19.4,1,1,3834
7.66,3.03,0.77,301,2008,530.6,18.2,1,1,5542
7.78,2.94,0.7,301,2004,579.3,19.9,0,1,4934
6.43,3.63,0.47,204,3003,476.1,18.0,1,1,1968
6.25,3.64,0.24,201,6001,1115.9,12.9,0,1,344
6.71,1.66,0.77,204,1009,307.1,13.4,0,1,321
7.32,1.54,0.91,402,7001,351.8,10.1,0,1,184
6.29,2.54,0.45,102,3006,334.6,18.1,1,1,5444
6.04,3.75,0.15,201,3002,350.1,25.6,1,1,2274
6.41,3.58,0.49,201,3017,322.3,25.6,1,0,1894
7.18,3.9,0.11,204,3014,416.5,24.6,1,0,1952
6.8,3.15,0.43,201,3015,293.1,25.0,1,1,1916
7.12,3.4,0.32,301,2010,659.9,18.2,1,1,5170
7.34,2.2,0.1,201,4005,749.3,13.4,1,1,3461
6.27,2.9,0.14,202,4008,803.5,12.4,1,1,3637
7.44,3.21,0.4,306,2002,649.6,17.2,1,1,5690
6.4,3.11,0.17,201,3011,361.8,19.7,1,1,2014
7.96,2.69,0.66,301,2009,423.0,19.3,1,1,5521
6.98,3.75,0.21,201,4004,671.6,12.8,0,1,3385
8.48,1.53,0.79,402,6002,275.3,23.5,0,1,135
8.34,1.53,0.32,402,6002,373.1,21.6,0,1,151
7.41,1.72,1.18,202,1004,329.5,13.0,0,0,243
7.23,1.04,0.8,402,7010,277.2,15.0,0,1,167
7.59,1.16,0.57,402,7012,260.9,15.0,0,1,170
7.44,1.63,0.52,301,1002,390.0,10.4,0,0,288
7.9,1.05,0.26,101,7013,250.3,15.4,0,1,180
7.52,1.28,0.48,402,7012,271.0,11.6,0,1,177
6.23,2.74,0.49,204,3017,338.7,22.0,1,1,1947
6.99,3.0,0.33,301,2008,563.2,19.9,1,1,5595
6.56,3.3,0.32,102,3002,479.4,23.4,1,1,1983
7.34,1.16,0.71,202,8002,320.0,15.6,0,1,905
6.71,3.02,0.12,202,5003,677.8,18.7,0,1,3566
